"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,
"B45H0116","176350","400360","Rijksdriehoeksmeting","45H","Onbekend","17.6","Onbekend",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al (% Ox.)","As (mg/kg)","Ba (mg/kg)","Ca (% Ox.)","Cr (mg/kg)","Ctot (%)","Cu (mg/kg)","Fe (% Ox.)","Ga (mg/kg)","K (% Ox.)","Mg (% Ox.)","Mn (% Ox.)","Na (% Ox.)","Nb (mg/kg)","Ni (mg/kg)","P (% Ox.)","Pb (mg/kg)","Rb (mg/kg)","S (mg/kg)","Si (% Ox.)","Sr (mg/kg)","Th (mg/kg)","Ti (% Ox.)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B45H0116",,"L1998-06-9009","1","1","8.0","9.0","1.6073299646377563",".13099999725818634","144.89999389648438","< 0","9.199999809265137","","3.0789999961853027",".1809999942779541","< 0",".7432299852371216",".002950000111013651","< 0",".12438999861478806","2.125","6.2779998779296875",".008009999990463257","7.099999904632568","24.849000930786133","< 0","95.41026306152344","18.766000747680664","5.263999938964844",".02466999925673008",".9580000042915344","1.2000000476837158","10.730999946594238","6.514999866485596","59.9379997253418"
"B45H0116",,"L1998-06-9009","2","1","8.0","9.0","","","","","","3.4203","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9010","1","1","9.0","10.0","1.35971999168396","< 0","137.1999969482422","< 0","3.0999999046325684","","2.187000036239624",".11057999730110168","< 0",".6807000041007996",".0022899999748915434","< 0",".11489000171422958","2.0369999408721924","6.065000057220459",".008569999597966671","7.453999996185303","21.976999282836914","< 0","95.83203887939453","17.684999465942383","6.828000068664551",".005109999794512987","< 0",".800000011920929","10.527999877929688","5.875999927520752","36.6349983215332"
"B45H0116",,"L1998-06-9010","2","1","9.0","10.0","","","","","","2.8305","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9011","1","1","10.0","11.0","1.1892000436782837","< 0","128.5","< 0","3.9000000953674316","","2.884999990463257",".12084999680519104","< 0",".5466099977493286",".002469999948516488","< 0",".10666000097990036","1.6629999876022339","5.380000114440918",".009139999747276306","5.959000110626221","16.621999740600586","< 0","95.41417694091797","16.62700080871582","4.886000156402588",".006029999814927578","< 0","< 0","10.718999862670898","5.618000030517578","32.729000091552734"
"B45H0116",,"L1998-06-9011","2","1","10.0","11.0","","","","","","2.9949","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9012","1","1","11.0","12.0","14.376799583435059","1.9299999475479126","311.3999938964844","< 0","82.5","","14.175999641418457","2.220210075378418","13.701000213623047","2.4437100887298584",".008919999934732914",".7974399924278259",".4634599983692169","11.795000076293945","30.85700035095215",".02744000032544136","16.17799949645996","111.98600006103516","< 0","72.84464263916016","54.39500045776367","10.454000473022461",".4689300060272217",".9620000123977661","69.5999984741211","20.740999221801758","70.95500183105469","151.0290069580078"
"B45H0116",,"L1998-06-9012","2","1","11.0","12.0","","","","","","2.8996","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9013","1","1","12.0","13.0","1.9970099925994873","< 0","197.10000610351562","< 0","3.5","","2.2790000438690186",".1031700000166893","< 0","1.0443300008773804",".0025400000158697367","< 0",".18313999474048615","1.8550000190734863","6.263000011444092",".011230000294744968","6.781000137329102","30.680999755859375","< 0","94.602783203125","23.785999298095703","6.927999973297119",".009650000371038914","3.2290000915527344","< 0","9.779000282287598","4.806000232696533","34.064998626708984"
"B45H0116",,"L1998-06-9013","2","1","12.0","13.0","","","","","","2.6429","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9014","1","1","13.0","14.0","1.8149700164794922","< 0","181.6999969482422","< 0","6.5","","1.9170000553131104",".09320999681949615","< 0",".9726600050926208",".002090000081807375","< 0",".17496000230312347","3.11899995803833","5.671000003814697",".011370000429451466","7.706999778747559","28.489999771118164","< 0","94.4958724975586","23.326000213623047","3.5880000591278076",".008709999732673168","1.6820000410079956",".10000000149011612","11.770000457763672","4.426000118255615","35.03300094604492"
"B45H0116",,"L1998-06-9014","2","1","13.0","14.0","","","","","","2.2095","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9015","1","1","14.0","15.0","1.8521699905395508","< 0","188.60000610351562","< 0","4.800000190734863","","2.3259999752044678",".1071000024676323","< 0",".9615300297737122",".002319999970495701","< 0",".1517699956893921","1.5049999952316284","5.547999858856201",".010379999876022339","7.544000148773193","28.996000289916992","< 0","94.50872802734375","23.20800018310547","7.951000213623047",".0065100002102553844","1.534000039100647","< 0","9.284000396728516","5.863999843597412","33.56700134277344"
"B45H0116",,"L1998-06-9015","2","1","14.0","15.0","","","","","","5.5643","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9016","1","1","15.0","16.0","1.9581799507141113",".03500000014901161","186.10000610351562","< 0","7.099999904632568","","3.430999994277954",".15395000576972961","< 0",".9867500066757202",".002859999891370535","< 0",".18776999413967133","2.4779999256134033","5.35699987411499",".012330000288784504","8.232000350952148","29.55299949645996","< 0","94.36636352539062","23.131000518798828","7.296999931335449",".01583999954164028","< 0","< 0","10.114999771118164","5.4710001945495605","37.23099899291992"
"B45H0116",,"L1998-06-9016","2","1","15.0","16.0","","","","","","6.0372","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9017","1","1","16.0","17.0","1.736899971961975",".7860000133514404","150.10000610351562","< 0","9.800000190734863","","3.7290000915527344",".14723999798297882","< 0",".8396900296211243",".0024800000246614218","< 0",".1707099974155426","2.178999900817871","5.547999858856201",".011110000312328339","6.427000045776367","25.74799919128418","< 0","94.33548736572266","18.573999404907227","5.170000076293945",".015329999849200249","< 0","2.0999999046325684","10.335000038146973","7.803999900817871","38.750999450683594"
