"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B51F0474","176510","397918","Rijksdriehoeksmeting","51F","GPS (Global Positioning System)","17.0","gemeten, overige methoden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al2O3 (%)","As (mg/kg)","Ba (mg/kg)","CaO (%)","Cr (mg/kg)","Cu (mg/kg)","Fe2O3 (%)","Ga (mg/kg)","K2O (%)","La (mg/kg)","MgO (%)","MnO (%)","Na2O (%)","Nb (mg/kg)","Nd (mg/kg)","Ni (mg/kg)","P2O5 (%)","Pb (mg/kg)","Rb (mg/kg)","S (%)","Sc (mg/kg)","SiO2 (%)","Sn (mg/kg)","Sr (mg/kg)","TGA(105-1000) (%)","TGA(105-450) (%)","TGA(20-105) (%)","TGA(450-550) (%)","TGA(550-800) (%)","TGA(800-1000) (%)","Th (mg/kg)","TiO2 (%)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B51F0474","01-08-2004","L2004-08-1625","1","1","8.05","8.08","1.84736","2.25447","214.1","0.00779","8.1","2.04788","0.06506","2.96517","0.8036","9.717","0.00846","0.00056","0.163283555555556","1.8811","5.7","5.01973","0.00805","8.52209","26.56001","< 0","1.2","90.61675","3.96845","26.40524","","","","","","","1.51171","0.05339","1.69575","8.3","7.14763","5.36496","37.8817"
"B51F0474","01-08-2004","L2004-08-1625","2","1","8.05","8.08","","","","","","","","","","","","","","","","","","","","","","","","","0.36635","0.1164","0.006465","0.1228","0.07974","0.04741","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1626","1","1","9.2","9.23","19.36049","9.00385","400.8","0.70755","122.3","19.01039","5.03024","22.20184","2.69997","56.41667","1.43067","0.0168","0.243973555555556","21.60057","58","53.99366","0.05145","26.78879","159.4704","0.0425495075757576","19.2","64.4151","< 0","87.99648","","","","","","","16.22676","0.98631","3.89681","150.6","47.7088","136.5041","237.17171"
"B51F0474","01-08-2004","L2004-08-1626","2","1","9.2","9.23","","","","","","","","","","","","","","","","","","","","","","","","","6.6527","3.243","1.997","2.247","0.8949","0.2678","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1627","1","1","9.93","9.96","19.02257","18.3456","321.2","0.81665","108.3","18.4288","4.1885","20.18715","1.88756","40.42241","1.18483","0.00948","0.180523555555556","15.38601","40.7","48.66452","0.04424","22.38841","104.85107","0.248019507575758","16","63.40569","< 0","75.9744","","","","","","","12.06361","0.70565","4.22342","135.9","37.63924","73.87725","196.98668"
"B51F0474","01-08-2004","L2004-08-1627","2","1","9.93","9.96","","","","","","","","","","","","","","","","","","","","","","","","","7.8835","4.764","1.629","2.039","0.7332","0.3473","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1628","1","1","10.37","10.4","7.01834","8.12104","215.6","0.2172","45.8","4.30681","1.31188","7.47984","1.07498","16.32616","0.2245","0.00467","0.182133555555556","8.07475","16.5","13.36349","0.01606","9.55807","46.5523","0.121969507575758","5","81.56596","1.84488","36.19432","","","","","","","3.62272","0.34673","2.93409","44.8","13.50447","21.83436","259.40817"
"B51F0474","01-08-2004","L2004-08-1628","2","1","10.37","10.4","","","","","","","","","","","","","","","","","","","","","","","","","2.0227","0.876","0.8878","0.7333","0.2682","0.1452","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1629","1","1","11.05","11.08","3.81645","20.4333","173.4","0.09882","33.4","2.22442","0.88897","4.25385","0.83729","13.15956","0.09782","0.00298","0.163673555555556","5.96024","14.4","12.05937","0.00939","6.29147","30.4649","0.336069507575758","3.9","84.23012","< 0","25.07178","","","","","","","2.55306","0.24362","2.8426","37.1","12.46712","14.70596","242.23605"
"B51F0474","01-08-2004","L2004-08-1629","2","1","11.05","11.08","","","","","","","","","","","","","","","","","","","","","","","","","1.93424","1.314","0.3712","0.3285","0.2231","0.06864","","","","","","",""
