"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B51F0474","176510","397918","Rijksdriehoeksmeting","51F","GPS (Global Positioning System)","17.0","gemeten, overige methoden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al2O3 (%)","As (mg/kg)","Ba (mg/kg)","CaO (%)","Cr (mg/kg)","Cu (mg/kg)","Fe2O3 (%)","Ga (mg/kg)","K2O (%)","La (mg/kg)","MgO (%)","MnO (%)","Na2O (%)","Nb (mg/kg)","Nd (mg/kg)","Ni (mg/kg)","P2O5 (%)","Pb (mg/kg)","Rb (mg/kg)","S (%)","Sc (mg/kg)","SiO2 (%)","Sn (mg/kg)","Sr (mg/kg)","TGA(105-1000) (%)","TGA(105-450) (%)","TGA(20-105) (%)","TGA(450-550) (%)","TGA(550-800) (%)","TGA(800-1000) (%)","Th (mg/kg)","TiO2 (%)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B51F0474","01-08-2004","L2004-08-1652","1","1","33.7","33.73","4.06293","2.87336","264.1","0.26715","19.1","2.76021","0.56519","4.12747","1.55324","9.1782","0.16278","0.01254","0.819243555555556","3.48154","5.3","6.96002","0.02829","9.58088","50.88371","0.00417950757575758","1.6","85.93436","3.09784","45.31817","","","","","","","2.94903","0.09838","1.8182","14.1","10.24651","12.43189","46.82235"
"B51F0474","01-08-2004","L2004-08-1652","2","1","33.7","33.73","","","","","","","","","","","","","","","","","","","","","","","","","0.66015","0.2411","0.03744","0.08895","0.2786","0.0515","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1653","1","1","35.85","35.88","3.64943","4.31275","253.4","0.21899","19.4","3.05938","0.52473","3.92926","1.40455","7.21233","0.12903","0.01326","0.682173555555556","3.27258","7.7","5.34344","0.02478","7.61681","45.94512","0.00498950757575754","2.8","86.73649","2.2844","41.79308","","","","","","","0.29637","0.09195","1.40702","9.6","8.92789","10.82718","51.48338"
"B51F0474","01-08-2004","L2004-08-1653","2","1","35.85","35.88","","","","","","","","","","","","","","","","","","","","","","","","","0.6885","0.2579","0.03253","0.08512","0.2854","0.06008","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1654","1","1","37.3","37.33","3.58428","3.31762","263.3","0.19601","14.8","2.98562","0.48638","4.63347","1.40179","8.67374","0.11407","0.01259","0.679393555555556","2.89664","6.4","5.63245","0.0247","10.03204","46.19525","0.00526950757575755","2.1","86.83068","2.36058","42.47152","","","","","","","2.92572","0.09382","0.72029","9.8","9.51857","9.56322","57.05819"
"B51F0474","01-08-2004","L2004-08-1654","2","1","37.3","37.33","","","","","","","","","","","","","","","","","","","","","","","","","0.5967","0.2297","0.0284","0.08761","0.2344","0.04499","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1655","1","1","39.45","39.48","4.14688","3.95979","261.3","0.14787","19.4","2.80544","0.54648","4.43224","1.50099","10.31565","0.14077","0.00893","0.774853555555556","3.42099","9.3","7.51195","0.02672","10.21509","50.10886","0.0157595075757575","1.9","86.15742","2.75557","45.20358","","","","","","","0.10862","0.1107","2.12357","13.1","9.34922","10.85501","62.53704"
"B51F0474","01-08-2004","L2004-08-1655","2","1","39.45","39.48","","","","","","","","","","","","","","","","","","","","","","","","","0.67025","0.2566","0.03926","0.1152","0.2199","0.07855","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1650","1","1","30.9","39.93","6.14408","4.37185","285.3","0.79326","30","5.65608","1.33687","6.52798","1.86836","10.95252","0.69235","0.02916","1.06369355555556","4.41361","10","13.96022","0.04371","10.8874","63.76884","0.0134595075757575","4.1","80.63749","0.21663","55.88657","","","","","","","3.27766","0.16789","1.52877","26.8","13.12688","24.23316","68.49858"
"B51F0474","01-08-2004","L2004-08-1650","2","1","30.9","39.93","","","","","","","","","","","","","","","","","","","","","","","","","1.81956","0.4064","0.1851","0.2837","1.064","0.06546","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1657","1","1","41.25","41.28","2.13793","4.57275","241","0.0386","8.1","1.88288","0.11085","2.95236","1.01756","7.27252","0.00796","0.00316","0.308163555555556","2.10739","2.6","0.7103","0.01131","5.5029","34.92654","0.00410950757575755","1.7","89.852","3.48234","31.01113","","","","","","","2.01532","0.04543","1.01186","8.3","6.09896","2.00076","35.07801"
"B51F0474","01-08-2004","L2004-08-1657","2","1","41.25","41.28","","","","","","","","","","","","","","","","","","","","","","","","","0.35045","0.09388","0.01564","0.09075","0.1001","0.06572","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1658","1","1","41.6","41.63","3.63788","3.20105","200.7","2.05929","22.4","2.64846","1.57768","4.29003","1.15988","10.26967","0.34568","0.05301","0.646093555555556","3.58812","9.4","6.99443","0.03484","7.97973","39.08739","0.0224195075757576","3.1","80.18629","1.30916","68.7916","","","","","","","3.5903","0.11712","1.83036","16.8","10.31979","9.54352","80.86806"
"B51F0474","01-08-2004","L2004-08-1658","2","1","41.6","41.63","","","","","","","","","","","","","","","","","","","","","","","","","2.84403","0.6886","0.1487","0.121","1.991","0.04343","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1659","1","1","42.6","42.63","4.34291","6.19739","219","2.06075","20.1","3.4401","0.99689","5.03715","1.37506","7.54557","0.38849","0.02648","0.824893555555556","3.90567","7.4","8.40655","0.03272","6.79658","46.48783","0.0305695075757576","3.2","81.26685","0.63522","73.82787","","","","","","","2.74662","0.12702","2.29869","12.7","11.38165","13.56663","58.64986"
"B51F0474","01-08-2004","L2004-08-1659","2","1","42.6","42.63","","","","","","","","","","","","","","","","","","","","","","","","","2.59997","0.3402","0.1747","0.1336","2.08","0.04617","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1660","1","1","43.5","43.53","7.96091","7.60449","248.3","3.12652","46.1","9.24283","3.45449","8.12462","1.80462","19.29485","1.45174","0.09121","0.746963555555556","7.38248","15.5","19.68109","0.06598","13.65146","69.66108","0.101739507575758","6.6","70.77469","2.64518","85.54339","","","","","","","6.21638","0.30909","2.16505","44.8","18.11567","34.68014","133.69475"
"B51F0474","01-08-2004","L2004-08-1660","2","1","43.5","43.53","","","","","","","","","","","","","","","","","","","","","","","","","5.32934","1.244","0.6682","0.7187","3.296","0.07064","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1661","1","1","44.8","44.83","2.63412","4.5872","183.4","1.0259","16.1","1.76358","0.40921","2.88789","0.94789","11.41696","0.14563","0.01069","0.464913555555556","2.93737","9.2","3.76388","0.02135","6.16166","31.86153","0.0103995075757575","1.5","86.15432","< 0","46.36624","","","","","","","0.9175","0.08714","0.0236","11.3","7.04094","6.19539","66.72198"
"B51F0474","01-08-2004","L2004-08-1661","2","1","44.8","44.83","","","","","","","","","","","","","","","","","","","","","","","","","1.19362","0.1133","0.03484","0.1278","0.9351","0.01742","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1662","1","1","45.57","45.6","10.43152","9.95139","242.4","8.26664","73.7","15.54245","7.36892","11.29522","1.8982","27.08583","2.73959","0.22348","0.723153555555556","12.70341","26.5","30.69728","0.11347","16.51141","80.18359","0.213099507575758","11.5","53.7695","4.39756","167.22217","","","","","","","11.52293","0.60188","1.86422","72.6","28.13574","58.76246","244.28284"
"B51F0474","01-08-2004","L2004-08-1662","2","1","45.57","45.6","","","","","","","","","","","","","","","","","","","","","","","","","12.01629","3.11","1.305","1.075","7.733","0.09829","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1663","1","1","46.57","46.6","9.22318","9.4467","297.6","3.14583","59","7.95061","4.56468","9.28783","1.97671","23.44065","2.27129","0.11637","0.990423555555556","11.1639","21.4","23.24236","0.1027","12.29142","71.7638","0.142719507575758","10.2","66.58684","0.09968","85.92686","","","","","","","7.52878","0.49065","3.6277","56.9","26.61038","43.3595","267.22681"
"B51F0474","01-08-2004","L2004-08-1663","2","1","46.57","46.6","","","","","","","","","","","","","","","","","","","","","","","","","6.2472","1.58","0.7795","0.7396","3.765","0.1626","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1664","1","1","47.75","47.78","3.21301","3.43808","208.9","0.19059","17.1","2.84539","0.61309","3.64251","1.11545","7.17007","0.12721","0.01321","0.525633555555556","2.35026","6.8","5.10977","0.02157","8.0156","37.2647","0.0293695075757576","2.3","86.72067","2.36029","33.86463","","","","","","","4.76205","0.09813","1.34148","13","8.32012","7.47624","64.4437"
"B51F0474","01-08-2004","L2004-08-1664","2","1","47.75","47.78","","","","","","","","","","","","","","","","","","","","","","","","","0.68148","0.2512","0.09521","0.09818","0.2859","0.0462","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1665","1","1","49.3","49.33","2.68071","4.31478","197.9","0.13164","13","2.51241","0.34384","3.44438","1.02169","10.54164","0.07725","0.00788","0.451433555555556","2.78667","4.8","4.02107","0.01652","4.67917","34.19878","0.0167295075757576","1.9","88.40086","6.37634","30.62781","","","","","","","1.0582","0.07787","1.32059","8.2","7.51475","4.84883","61.2895"
"B51F0474","01-08-2004","L2004-08-1665","2","1","49.3","49.33","","","","","","","","","","","","","","","","","","","","","","","","","0.50861","0.1356","0.0452","0.1215","0.2176","0.03391","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1666","1","1","49.55","49.58","13.6642","10.21811","280.3","4.35429","78.8","20.65901","5.49971","14.08201","2.41228","22.89042","3.58258","0.09742","0.620873555555556","12.92181","24.4","41.62886","0.11212","20.06287","106.20722","0.137189507575758","10.6","60.89784","2.64552","87.29041","","","","","","","9.94905","0.57013","2.33304","82.3","25.85579","72.31441","176.94084"
"B51F0474","01-08-2004","L2004-08-1666","2","1","49.55","49.58","","","","","","","","","","","","","","","","","","","","","","","","","9.3889","2.052","1.833","1.535","5.674","0.1279","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1667","1","1","50.25","50.28","7.73414","11.42527","169.2","4.69677","47.1","22.78287","27.86238","10.02507","1.38609","23.75136","2.45956","1.17891","0.360053555555556","8.24323","11.2","36.67034","0.15191","19.83147","70.22827","0.136099507575758","8.6","32.12656","1.50977","69.81165","","","","","","","14.03606","0.38588","2.72361","52.4","22.68487","54.09992","118.26899"
"B51F0474","01-08-2004","L2004-08-1667","2","1","50.25","50.28","","","","","","","","","","","","","","","","","","","","","","","","","18.47469","12.72","1.492","1.153","4.525","0.07669","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1668","1","1","50.45","50.48","15.28208","9.08055","294.2","4.00454","96","22.0893","6.5405","16.86063","2.57838","35.22485","3.40778","0.13358","0.442933555555556","16.45874","40.4","47.83077","0.11719","25.49761","123.49963","0.137009507575758","14.4","58.9644","0.84676","97.52248","","","","","","","12.29371","0.74681","2.68385","106.9","34.2308","90.63547","198.51535"
"B51F0474","01-08-2004","L2004-08-1668","2","1","50.45","50.48","","","","","","","","","","","","","","","","","","","","","","","","","10.1088","3.03","2.298","1.839","5.132","0.1078","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1669","1","1","51.3","51.33","3.6524","2.09701","219.2","0.27599","18.1","2.22669","0.65008","3.7693","1.27435","9.64288","0.17873","0.01587","0.639893555555556","3.43784","7.8","6.47247","0.02172","10.39705","42.65456","0.00488950757575754","2.8","86.01878","3.552","38.8653","","","","","","","0.90676","0.1059","0.50148","12.7","9.20825","8.29473","82.00684"
"B51F0474","01-08-2004","L2004-08-1669","2","1","51.3","51.33","","","","","","","","","","","","","","","","","","","","","","","","","0.7416","0.2413","0.08928","0.1042","0.3544","0.0417","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1670","1","1","51.6","51.63","12.28233","13.10048","264.1","4.11165","83.8","17.427","7.82227","13.45485","2.19834","29.86136","3.18289","0.21005","0.608923555555556","14.0097","29.7","38.70577","0.11416","17.59243","99.72082","0.166979507575758","10.8","58.14217","8.11892","87.43015","","","","","","","11.92567","0.61887","3.16047","85.4","31.41445","71.00849","238.10423"
"B51F0474","01-08-2004","L2004-08-1670","2","1","51.6","51.63","","","","","","","","","","","","","","","","","","","","","","","","","9.8546","3.209","1.686","1.345","5.174","0.1266","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1671","1","1","52.4","52.43","2.12396","5.2574","177","0.09792","11.4","2.73724","0.33388","2.47517","0.81844","4.79147","0.04567","0.00594","0.307053555555556","2.0613","5.6","3.37331","0.01256","4.02624","27.98118","0.0833195075757576","1.6","89.02549","1.73812","24.77427","","","","","","","2.52625","0.06372","1.08342","7.2","5.49976","2.68458","46.73111"
"B51F0474","01-08-2004","L2004-08-1671","2","1","52.4","52.43","","","","","","","","","","","","","","","","","","","","","","","","","0.48507","0.1465","0.03579","0.1237","0.1693","0.04557","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1672","1","1","53.4","53.43","2.1278","6.67935","167.8","0.15962","13.2","2.30807","0.40131","3.11612","0.7834","6.21474","0.07963","0.00625","0.324293555555556","2.57555","5.2","4.33904","0.0152","6.65075","27.15538","0.127799507575758","0.4","88.1842","2.35412","25.61076","","","","","","","3.08203","0.07257","1.13722","8.8","5.71601","4.07075","52.19428"
"B51F0474","01-08-2004","L2004-08-1672","2","1","53.4","53.43","","","","","","","","","","","","","","","","","","","","","","","","","0.5954","0.1837","0.03482","0.1362","0.2375","0.038","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1673","1","1","54.7","54.73","1.98878","11.71805","191.7","0.03567","13.4","3.16937","0.56013","2.56878","0.82973","5.96232","0.01523","0.00387","0.211333555555556","2.65248","5","3.42529","0.01281","6.89087","28.77082","0.344229507575758","2.4","87.93562","< 0","24.86653","","","","","","","1.85742","0.06733","0.61098","8.5","5.26258","14.42956","45.71503"
"B51F0474","01-08-2004","L2004-08-1673","2","1","54.7","54.73","","","","","","","","","","","","","","","","","","","","","","","","","0.79459","0.2808","0.03649","0.05896","0.4071","0.04773","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1674","1","1","55.46","55.49","7.52206","9.7269","299.2","0.58575","46","4.41383","1.77187","8.13692","1.88087","13.81475","0.69817","0.02406","1.38551355555556","7.58564","19","16.55146","0.08211","11.22465","61.51972","0.169119507575758","5.3","79.34399","0.99272","75.05578","","","","","","","10.15088","0.28102","1.44939","33.7","16.98027","24.79744","203.46375"
"B51F0474","01-08-2004","L2004-08-1674","2","1","55.46","55.49","","","","","","","","","","","","","","","","","","","","","","","","","1.2947","0.3292","0.2153","0.3486","0.4841","0.1328","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1675","1","1","55.78","55.81","2.58621","13.36897","213","0.08072","16.8","1.56732","0.55516","3.23474","1.00008","6.60289","0.04428","0.00843","0.343523555555556","2.89958","3.7","3.76464","0.0173","7.11615","33.65089","0.177719507575758","1.4","88.09795","1.8384","30.92133","","","","","","","1.82866","0.08753","1.54141","8.8","6.07046","6.54296","61.48595"
"B51F0474","01-08-2004","L2004-08-1675","2","1","55.78","55.81","","","","","","","","","","","","","","","","","","","","","","","","","0.69793","0.2767","0.08167","0.09431","0.2609","0.06602","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1676","1","1","56.4","56.43","2.88474","7.8619","219.5","0.11661","17.9","3.67715","0.67528","3.7548","1.03722","8.27873","0.05793","0.01365","0.335843555555556","3.3344","8.5","5.3175","0.01965","9.73689","36.48126","0.127559507575758","1.5","87.67777","3.28138","32.49128","","","","","","","1.54677","0.10951","1.71437","13.5","8.88382","9.93113","87.91867"
"B51F0474","01-08-2004","L2004-08-1676","2","1","56.4","56.43","","","","","","","","","","","","","","","","","","","","","","","","","0.75511","0.3198","0.1419","0.1125","0.231","0.09181","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1677","1","1","56.7","56.73","2.41525","10.21255","187.9","0.06551","16.8","4.7185","0.55639","2.89591","0.88486","6.64369","0.03098","0.01037","0.262713555555556","3.0097","7.2","3.31407","0.01716","8.91168","30.63827","0.126619507575758","1.7","87.75507","0.14341","26.61403","","","","","","","1.96794","0.08515","1.94884","10.7","6.88801","8.46846","81.16399"
"B51F0474","01-08-2004","L2004-08-1677","2","1","56.7","56.73","","","","","","","","","","","","","","","","","","","","","","","","","0.73758","0.3688","0.08481","0.08781","0.2195","0.06147","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1678","1","1","57.2","57.23","0.9992","37.65974","71.8","0.02914","13.1","3.45584","0.7888","1.81261","0.24446","6.33108","< 0","0.00225","0.0439935555555559","2.24588","2.6","3.69757","0.01585","6.0873","9.08719","0.599239507575758","1.6","88.39372","2.56931","9.68328","","","","","","","2.38304","0.05464","1.06114","8.9","3.8258","4.17436","59.15792"
"B51F0474","01-08-2004","L2004-08-1678","2","1","57.2","57.23","","","","","","","","","","","","","","","","","","","","","","","","","1.286562","0.6233","0.2206","0.009212","0.6387","0.01535","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1679","1","1","57.8","57.83","1.12507","1.90922","81","0.12643","12.8","2.6053","0.13307","1.4513","0.26378","4.20179","0.0042","0.00325","0.0460935555555559","1.95895","3.5","0.24345","0.02698","6.5892","9.03533","0.0295595075757576","1.3","88.80149","1.70676","11.61932","","","","","","","0.06876","0.04042","1.09258","17.9","3.79693","13.90577","29.85605"
"B51F0474","01-08-2004","L2004-08-1679","2","1","57.8","57.83","","","","","","","","","","","","","","","","","","","","","","","","","1.15588","1.021","0.2211","0.0835","0.02569","0.02569","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1680","1","1","58.45","58.48","0.45245","5.60991","57.1","< 0","10.2","1.24858","0.04404","1.47143","0.13928","5.22404","< 0","0.00006","0.0244235555555559","2.68192","4.3","0.52238","0.00307","3.59241","5.9158","0.0729595075757576","1","91.08466","4.51627","8.06531","","","","","","","2.01183","0.08243","1.37704","5.9","3.71532","1.77101","96.50711"
"B51F0474","01-08-2004","L2004-08-1680","2","1","58.45","58.48","","","","","","","","","","","","","","","","","","","","","","","","","0.249078","0.1009","0.01576","0.06936","0.06936","0.009458","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1681","1","1","59.35","59.38","6.8871","2.26164","133.7","0.057","37.8","5.42146","0.67993","7.14541","0.73057","22.94591","0.12994","0.00475","0.0734235555555559","8.07166","17.2","6.39363","0.0225","10.80516","36.30215","< 0","4.9","84.20427","2.74848","29.48417","","","","","","","5.78421","0.35823","2.44801","43.3","11.41551","16.61345","130.5258"
"B51F0474","01-08-2004","L2004-08-1681","2","1","59.35","59.38","","","","","","","","","","","","","","","","","","","","","","","","","1.98308","0.7416","0.6832","0.9244","0.2714","0.04568","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1682","1","1","59.63","59.66","21.06984","8.19175","329.2","0.23538","115.8","11.57045","2.27567","21.40398","2.37845","43.10361","0.8907","0.00646","0.177953555555556","23.53648","39.7","23.95795","0.05424","20.33766","132.40398","< 0","16","66.84214","2.23433","77.79307","","","","","","","13.97928","1.11235","3.42743","130.1","29.75784","48.79833","277.66763"
"B51F0474","01-08-2004","L2004-08-1682","2","1","59.63","59.66","","","","","","","","","","","","","","","","","","","","","","","","","6.05737","2.651","2.244","2.513","0.8014","0.09197","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1683","1","1","60.3","60.33","1.91781","4.18099","68.5","0.00834","22","0.45434","0.31845","2.64479","0.24901","8.27206","0.00745","0.00429","0.0352835555555559","4.36145","13.2","0.68665","0.00589","5.41049","12.10488","0.0652195075757576","2.5","89.64881","1.4496","12.17537","","","","","","","< 0","0.18394","1.98462","13.5","6.21155","6.99212","183.75957"
"B51F0474","01-08-2004","L2004-08-1683","2","1","60.3","60.33","","","","","","","","","","","","","","","","","","","","","","","","","0.60436","0.1931","0.08666","0.2574","0.1063","0.04756","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1684","1","1","60.6","60.63","10.91436","4.56129","187.4","0.09179","60.6","5.64385","0.93061","11.04628","1.19209","28.55518","0.26876","0.00352","0.100233555555556","12.24773","32.8","9.10666","0.02774","13.02115","59.56502","< 0","6.6","79.20042","3.969","37.72334","","","","","","","10.15652","0.56433","3.26556","63.3","17.74516","22.4975","181.46683"
"B51F0474","01-08-2004","L2004-08-1684","2","1","60.6","60.63","","","","","","","","","","","","","","","","","","","","","","","","","2.95025","1.027","0.998","1.453","0.4316","0.03865","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1685","1","1","61.1","61.13","0.59141","2.46368","55.6","< 0","36.6","< 0","0.01014","1.36284","0.16643","8.63533","< 0","0.00071","0.0238835555555559","5.286","20.9","< 0","0.00259","3.35331","6.86423","0.0247295075757576","1.1","90.79398","1.38285","7.62053","","","","","","","2.92348","0.14449","1.302","6.6","7.79608","< 0","659.77386"
"B51F0474","01-08-2004","L2004-08-1685","2","1","61.1","61.13","","","","","","","","","","","","","","","","","","","","","","","","","0.143728","0.09093","< 0","< 0","0.06453","< 0","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1686","1","1","62.3","62.33","0.3285","2.02132","47.5","< 0","18.3","< 0","< 0","0.89725","0.11927","5.28833","< 0","< 0","0.0188135555555559","3.95525","13.4","< 0","0.00163","1.86898","5.25253","0.00963950757575754","1.4","91.36954","4.1615","6.63754","","","","","","","< 0","0.09088","< 0","6","4.72129","< 0","473.7207"
"B51F0474","01-08-2004","L2004-08-1686","2","1","62.3","62.33","","","","","","","","","","","","","","","","","","","","","","","","","0.117023","0.1047","0.01231","< 0","0.04619","< 0","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1687","1","1","63.8","63.83","","","","","","","","","","","","","","","","","","","","","","","","","0.169255","0.1285","0.02194","0.006271","0.04389","< 0","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1688","1","1","64.9","64.93","0.97169","1.32044","95","< 0","9.7","0.39962","< 0","1.59401","0.33638","5.34063","< 0","< 0","0.0393235555555559","1.51225","5","< 0","0.00332","3.6359","11.08661","0.00530950757575756","0.7","90.95956","2.99037","10.83733","","","","","","","2.4531","0.05512","0.75991","5.4","4.03207","0.47763","87.81825"
"B51F0474","01-08-2004","L2004-08-1688","2","1","64.9","64.93","","","","","","","","","","","","","","","","","","","","","","","","","0.225332","0.1324","0.04504","0.03661","0.05069","0.005632","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1689","1","1","66.8","66.83","1.04154","1.23926","106","< 0","9.7","0.06921","< 0","1.67935","0.39057","6.72184","< 0","< 0","0.0450235555555559","2.29868","7.9","< 0","0.00313","4.23956","12.72505","0.0183595075757576","0.9","90.58487","< 0","13.42363","","","","","","","0.75403","0.07768","< 0","5.3","3.90018","< 0","111.51263"
"B51F0474","01-08-2004","L2004-08-1689","2","1","66.8","66.83","","","","","","","","","","","","","","","","","","","","","","","","","0.210149","0.1332","0.03846","0.008879","0.06807","< 0","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1690","1","1","67.0","67.03","6.03337","1.52845","152.6","0.0433","30.9","1.25248","0.56154","5.25505","0.69232","21.36051","0.06659","0.00357","0.0614935555555559","6.72304","19.5","4.34406","0.02065","16.82661","26.60282","< 0","3.1","85.30081","< 0","25.69655","","","","","","","0.28394","0.26576","1.69886","30.5","9.43638","8.68383","139.27019"
"B51F0474","01-08-2004","L2004-08-1690","2","1","67.0","67.03","","","","","","","","","","","","","","","","","","","","","","","","","1.66087","0.5693","0.5008","0.8336","0.2045","0.05347","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1691","1","1","67.87","67.9","4.30345","1.26263","116.2","0.03295","23","2.84246","0.40974","4.28255","0.5075","12.02175","0.02553","0.00417","0.0476535555555559","3.67487","9.8","3.80684","0.01304","10.87827","18.80698","< 0","2.1","87.83673","< 0","17.73208","","","","","","","2.38066","0.12696","0.81773","19.4","5.62021","7.04697","85.32603"
"B51F0474","01-08-2004","L2004-08-1691","2","1","67.87","67.9","","","","","","","","","","","","","","","","","","","","","","","","","1.19938","0.4468","0.3377","0.5967","0.1079","0.04798","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1692","1","1","69.54","69.57","3.59486","1.49972","126.9","0.02642","19.9","3.03766","0.30187","3.69578","0.49189","10.31847","0.01586","0.00359","0.0462135555555559","3.31705","5.1","2.56147","0.01148","9.57746","17.91553","< 0","2.1","88.20264","< 0","18.30307","","","","","","","2.57137","0.08247","0.31235","19.2","4.53721","3.41081","45.41271"
"B51F0474","01-08-2004","L2004-08-1692","2","1","69.54","69.57","","","","","","","","","","","","","","","","","","","","","","","","","1.0255","0.4037","0.3056","0.4774","0.0943","0.0501","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1693","1","1","69.63","69.66","16.6195","4.77682","302.7","0.22107","97.8","9.3966","1.46116","16.14403","1.94985","28.96237","0.52647","0.00385","0.147753555555556","19.29297","30.8","16.42203","0.0381","15.55821","92.32407","< 0","15.2","72.31458","2.29687","58.99234","","","","","","","15.78768","0.89593","3.94742","105.5","25.95774","23.11005","257.69522"
"B51F0474","01-08-2004","L2004-08-1693","2","1","69.63","69.66","","","","","","","","","","","","","","","","","","","","","","","","","4.7832","1.945","1.509","2.098","0.6377","0.1025","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1694","1","1","69.69","69.72","2.6896","7.57566","146.3","0.01946","20.4","1.12937","0.28363","3.62117","0.64224","8.51521","0.01527","0.00068","0.0592735555555559","3.5101","11.7","< 0","0.0077","6.89156","21.89292","0.105429507575758","2.3","86.21537","0.2086","18.84307","","","","","","","4.15479","0.1283","1.11586","16.9","5.05631","0.31461","116.53236"
"B51F0474","01-08-2004","L2004-08-1694","2","1","69.69","69.72","","","","","","","","","","","","","","","","","","","","","","","","","0.7724","0.3539","0.1536","0.2431","0.1077","0.0677","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1695","1","1","69.73","69.76","20.01206","6.80108","327.7","0.2961","116.6","6.77968","1.96002","20.45606","2.34964","37.99323","0.82895","0.00566","0.166113555555556","23.89349","36.8","19.71118","0.0469","16.60013","121.43169","0.00215950757575756","18.1","67.0976","7.05016","72.61378","","","","","","","14.01988","1.10509","5.53222","135","33.03031","29.48547","340.28772"
"B51F0474","01-08-2004","L2004-08-1695","2","1","69.73","69.76","","","","","","","","","","","","","","","","","","","","","","","","","6.3032","2.866","2.103","2.492","0.8163","0.1289","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1696","1","1","69.77","69.8","4.92021","36.76704","159.9","0.08544","40.7","7.36788","1.87777","5.44863","0.83291","11.28095","0.07168","0.01243","0.0713235555555559","5.41405","12.1","9.13313","0.01339","54.52272","32.53928","1.02088950757576","5.3","79.16465","< 0","24.52441","","","","","","","2.58558","0.2203","1.98668","44.9","10.01399","34.13303","96.07625"
"B51F0474","01-08-2004","L2004-08-1696","2","1","69.77","69.8","","","","","","","","","","","","","","","","","","","","","","","","","3.43006","1.853","0.6623","0.5706","0.9135","0.09296","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1697","1","1","69.87","69.9","20.86185","9.4863","349.9","0.30711","113.8","6.30049","2.22909","21.75906","2.45044","36.05941","0.84183","0.00525","0.169343555555556","23.25047","34.9","19.78241","0.05059","20.21322","128.08504","0.0307795075757576","17.3","66.44286","6.96582","80.5202","","","","","","","14.67754","1.09697","3.38788","127.4","32.19373","33.14118","293.86148"
