"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033479","IMBRO/A","2023-01-13T19:44:32+01:00","1993-03-29T13:00:00+02:00","onderwaterpomp","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","7.1","1","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","83.0","mS/m","goedgekeurd",,,,
"Temperatuur","1522","T","11.3","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1993-03-29","16.188","ug/l",,,,"goedgekeurd"
"arseen","310","As","1993-03-29","0.225","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1993-03-29","47.654","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1993-03-29","79.83","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1993-03-29","0.062","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1993-03-29","50.797","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1993-03-29","357.49","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1993-03-29","11.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1993-03-29","3.832","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1993-03-29","9.165","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1993-03-29","572.0","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","1993-03-29","39.589","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","1993-03-29","6.539","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","1993-03-29","120.569","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1993-03-29","1.129","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1993-03-29","0.451","mg/l",,,,"goedgekeurd"
,,,,,,,,,
