"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000040658","IMBRO/A","2023-01-16T17:36:37+01:00","1983-06-16T13:00:00+02:00","onderwaterpomp","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1983-06-16","9.0","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1983-06-16","22.6","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1983-06-16","7.85","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1983-06-16","106.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1983-06-16","0.12","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1983-06-16","6.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1983-06-16","0.4","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1983-06-16","0.2","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1983-06-16","0.01","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1983-06-16","7.0","mg/l",,,,"goedgekeurd"
"siliciumdioxide","4656","SiO2","1983-06-16","5.2","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1983-06-16","18.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1983-06-16","32.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1983-06-16","0.1","mg/l",,,"<","goedgekeurd"
"fosfaat","1334","PO4","1983-06-16","0.07","mg/l",,,,"goedgekeurd"
,,,,,,,,,
