"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000059452","IMBRO/A","2025-04-11T00:14:36+02:00","1990-04-23T12:00:00+02:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"ethylbenzeen","728","C2yBen","1990-04-23","0.2","ug/l",,,"<","goedgekeurd"
"benzeen","342","Ben","1990-04-23","0.2","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1990-04-23","420.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1990-04-23","7.79","1",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1990-04-23","273.0","mS/m",,,,"goedgekeurd"
"tolueen","1568","Tol","1990-04-23","0.4","ug/l",,,,"goedgekeurd"
,,,,,,,,,
