"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000005080","IMBRO/A","2022-12-02T21:07:18+01:00","1990-11-08T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"waterstofcarbonaat","374","HCO3","336.0","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"nitraat","1270","NO3","1990-11-08","0.0045","mg/l",,,"<","goedgekeurd"
"magnesium","1125","Mg","1990-11-08","101.0","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1990-11-08","0.03","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1990-11-08","4.51","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1990-11-08","246.0","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","1990-11-08","0.006","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1990-11-08","1193.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1990-11-08","0.07","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1990-11-08","6.7","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1990-11-08","361.0","mg/l",,,,"onbeslist"
"ijzer","879","Fe","1990-11-08","7220.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1990-11-08","7.3","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1990-11-08","202.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
