"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000013814","IMBRO/A","2023-01-09T12:10:47+01:00","2014-07-14T12:00:00+02:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","14.9","Cel","goedgekeurd",,,,
"zuurstof","1701","O2","0.38","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","52.6","mS/m","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.08","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"kalium","920","K","2014-07-14","1.9","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","2014-07-14","84.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2014-07-14","38.0","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","2014-07-14","0.12","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2014-07-14","13.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2014-07-14","0.12","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2014-07-14","4.7","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2014-07-14","0.07","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","2014-07-14","0.01","mg/l",,,"<","goedgekeurd"
"koolstof organisch","1318","Corg","2014-07-14","0.52","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","2014-07-14","0.06","mg/l",,,,"goedgekeurd"
"vanadium","1642","V","2014-07-14","0.3","ug/l",,,"<","goedgekeurd"
"chloride","508","Cl","2014-07-14","4.4","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2014-07-14","3.3","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2014-07-14","0.69","ug/l",,,,"goedgekeurd"
"strontium","1501","Sr","2014-07-14","300.0","ug/l",,,,"goedgekeurd"
"aluminium","284","Al","2014-07-14","10.0","ug/l",,,"<","goedgekeurd"
"molybdeen","1243","Mo","2014-07-14","2.0","ug/l",,,"<","goedgekeurd"
"lithium","1115","Li","2014-07-14","7.5","ug/l",,,,"goedgekeurd"
"kwik","1097","Hg","2014-07-14","0.03","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","2014-07-14","4.3","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","2014-07-14","0.31","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","2014-07-14","0.1","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","2014-07-14","120.0","ug/l",,,,"goedgekeurd"
"arseen","310","As","2014-07-14","6.1","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2014-07-14","98.0","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2014-07-14","4300.0","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","2014-07-14","43.0","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2014-07-14","44.9","mS/m",,,,"onbeslist"
"Zuurgraad","1398","pH","2014-07-14","7.1","1",,,,"goedgekeurd"
,,,,,,,,,
