"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000043509","IMBRO","2024-07-02T11:40:33+02:00","2022-05-10T13:00:00+02:00","onderwaterpomp","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","13.0","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.72","1","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","402.94","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","119.1","mS/m","goedgekeurd",,,,
"zuurstof","1701","O2","0.6","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"Zuurgraad","1398","pH","2022-05-10","6.81","1",,,,"goedgekeurd"
"aluminium","284","Al","2022-05-10","10.0","ug/l","10.0","ug/l","<","goedgekeurd"
"ammonium","289","NH4","2022-05-10","1.116","mg/l",,,,"goedgekeurd"
"arseen","310","As","2022-05-10","0.2","ug/l","0.2","ug/l","<","goedgekeurd"
"barium","333","Ba","2022-05-10","49.069","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","2022-05-10","0.05","ug/l","0.05","ug/l","<","goedgekeurd"
"calcium","447","Ca","2022-05-10","174.987","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","2022-05-10","47.622","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2022-05-10","0.831","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2022-05-10","124.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2022-05-10","4.262","mg/l",,,,"goedgekeurd"
"koper","971","Cu","2022-05-10","0.5","ug/l","0.5","ug/l","<","goedgekeurd"
"lood","1116","Pb","2022-05-10","0.2","ug/l","0.2","ug/l","<","goedgekeurd"
"magnesium","1125","Mg","2022-05-10","29.304","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2022-05-10","172.0","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","2022-05-10","44.02","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2022-05-10","3.225","ug/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2022-05-10","16.141","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2022-05-10","384.959","ug/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2022-05-10","178.665","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","2022-05-10","4.0","ug/l","4.0","ug/l","<","goedgekeurd"
,,,,,,,,,
