"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000013841","IMBRO/A","2023-01-09T12:12:01+01:00","1997-07-01T12:00:00+02:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"Geleidendheid","3548","GELDHD","1997-07-01","101.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1997-07-01","7.1","1",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1997-07-01","0.91","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1997-07-01","87.7","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","1997-07-01","0.03","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1997-07-01","153.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1997-07-01","1.21","mg/l",,,,"goedgekeurd"
"fluoride","1853","F","1997-07-01","0.08","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1997-07-01","0.01","mg/l",,,"<","goedgekeurd"
"ijzer","879","Fe","1997-07-01","379.0","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1997-07-01","5.1","ug/l",,,,"goedgekeurd"
"lithium","1115","Li","1997-07-01","8.0","ug/l",,,,"goedgekeurd"
"koper","971","Cu","1997-07-01","2.1","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","1997-07-01","0.8","ug/l",,,,"goedgekeurd"
"kobalt","527","Co","1997-07-01","3.7","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","1997-07-01","0.2","ug/l",,,,"goedgekeurd"
"bromide","391","Br","1997-07-01","0.3","mg/l",,,"<","goedgekeurd"
"barium","333","Ba","1997-07-01","157.8","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1997-07-01","241.0","ug/l",,,,"goedgekeurd"
"vanadium","1642","V","1997-07-01","0.25","ug/l",,,"<","goedgekeurd"
"aluminium","284","Al","1997-07-01","69.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1997-07-01","0.15","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1997-07-01","20.3","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1997-07-01","157.8","mg/l",,,,"goedgekeurd"
"kalium","920","K","1997-07-01","10.6","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1997-07-01","0.06","mg/l",,,"<","goedgekeurd"
"arseen","310","As","1997-07-01","5.6","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1997-07-01","3.0","ug/l",,,"<","goedgekeurd"
"strontium","1501","Sr","1997-07-01","220.0","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1997-07-01","197.0","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","1997-07-01","58.5","mg/l",,,,"goedgekeurd"
,,,,,,,,,
