"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000058161","IMBRO/A","2025-04-10T22:15:38+02:00","1990-07-04T12:00:00+02:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"kalium","920","K","1990-07-04","355.0","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1990-07-04","0.5","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","1990-07-04","0.3","ug/l",,,,"goedgekeurd"
"arseen","310","As","1990-07-04","1.0","ug/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1990-07-04","50.34","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1990-07-04","36.22","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1990-07-04","0.88","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1990-07-04","2842.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1990-07-04","140.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1990-07-04","17175.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1990-07-04","91.56","mg/l",,,,"goedgekeurd"
"kwik","1097","Hg","1990-07-04","0.05","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1990-07-04","1155.0","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1990-07-04","24.0","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","1990-07-04","93225.0","mg/l",,,,"onbeslist"
"Zuurgraad","1398","pH","1990-07-04","7.1","1",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1990-07-04","2761.0","mS/m",,,,"goedgekeurd"
"mangaan","1128","Mn","1990-07-04","370.0","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1990-07-04","4900.0","ug/l",,,,"goedgekeurd"
"koper","971","Cu","1990-07-04","66.1","ug/l",,,,"onbeslist"
"zink","1693","Zn","1990-07-04","20.0","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1990-07-04","19.8","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1990-07-04","297.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
