"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000001369","IMBRO/A","2022-11-28T15:00:51+01:00","2001-10-11T12:00:00+02:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"waterstofcarbonaat","374","HCO3","345.45","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","10.9","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.75","1","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","97.5","mS/m","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"calcium","447","Ca","2001-10-11","8.85","mg/l",,,,"goedgekeurd"
"kalium","920","K","2001-10-11","10.01","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2001-10-11","217.5","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2001-10-11","114.87","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2001-10-11","11.47","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","2001-10-11","0.51","mg/l",,,,"goedgekeurd"
"arseen","310","As","2001-10-11","0.89","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2001-10-11","132.0","ug/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2001-10-11","153.88","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","2001-10-11","19.85","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2001-10-11","0.82","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2001-10-11","0.02","mg/l",,,"<","goedgekeurd"
"ijzer","879","Fe","2001-10-11","1268.0","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2001-10-11","90.63","ug/l",,,,"goedgekeurd"
"aluminium","284","Al","2001-10-11","1295.04","ug/l",,,,"goedgekeurd"
,,,,,,,,,
