"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033410","IMBRO/A","2023-01-13T19:40:37+01:00","2018-06-11T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"zuurstof","1701","O2","0.5","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","58.0","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","366.855","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","11.9","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.1","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2018-06-11","10.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2018-06-11","0.384","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2018-06-11","115.7","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2018-06-11","6.894","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2018-06-11","0.5","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","2018-06-11","0.5","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","2018-06-11","58.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2018-06-11","7.4","1",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2018-06-11","0.112","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2018-06-11","9.061","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2018-06-11","219.1","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2018-06-11","3271.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2018-06-11","2.144","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2018-06-11","14.66","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2018-06-11","25.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2018-06-11","0.09","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2018-06-11","4.934","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2018-06-11","0.5","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","2018-06-11","0.2","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2018-06-11","4.0","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","2018-06-11","99.75","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2018-06-11","36.9","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2018-06-11","0.07","mg/l",,,"<","goedgekeurd"
"cadmium","441","Cd","2018-06-11","0.05","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
