"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000012406","IMBRO/A","2023-01-09T10:12:13+01:00","1996-12-11T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","9.6","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.12","1","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","33.5","mS/m","onbeslist",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1996-12-11","17.8","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1996-12-11","1.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1996-12-11","213.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1996-12-11","2.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1996-12-11","0.17","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1996-12-11","0.03","mg/l",,,"<","goedgekeurd"
"kalium","920","K","1996-12-11","0.6","mg/l",,,,"goedgekeurd"
,,,,,,,,,
