"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000055568","IMBRO/A","2025-04-10T18:22:11+02:00","1993-01-12T11:00:00+01:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1993-01-12","130.0","ug/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1993-01-12","13.81","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1993-01-12","5.31","mg/l",,,"<","goedgekeurd"
"waterstofcarbonaat","374","HCO3","1993-01-12","490.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1993-01-12","145.0","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1993-01-12","1930.0","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1993-01-12","70.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1993-01-12","2570.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1993-01-12","19.8","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1993-01-12","45.2","mg/l",,,,"goedgekeurd"
"kalium","920","K","1993-01-12","23.9","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1993-01-12","196.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1993-01-12","7.37","1",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1993-01-12","110.0","mS/m",,,,"goedgekeurd"
"ammonium","289","NH4","1993-01-12","1.91","mg/l",,,,"goedgekeurd"
,,,,,,,,,
