"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000034029","IMBRO/A","2023-01-13T20:19:59+01:00","1982-08-18T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"antimoon","301","Sb","1982-08-18","0.05","ug/l",,,,"goedgekeurd"
"kobalt","527","Co","1982-08-18","0.12","ug/l",,,,"goedgekeurd"
"zilver","1692","Ag","1982-08-18","0.02","ug/l",,,"<","goedgekeurd"
"vanadium","1642","V","1982-08-18","0.39","ug/l",,,,"goedgekeurd"
"bromide","391","Br","1982-08-18","0.123","mg/l",,,,"goedgekeurd"
,,,,,,,,,
