"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000061364","IMBRO/A","2025-04-11T03:16:32+02:00","1988-11-15T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"magnesium","1125","Mg","1988-11-15","43.0","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1988-11-15","0.1","ug/l",,,,"goedgekeurd"
"arseen","310","As","1988-11-15","0.26","ug/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1988-11-15","411.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1988-11-15","148.89","mg/l",,,,"onbeslist"
"chloride","508","Cl","1988-11-15","35.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1988-11-15","1.51","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1988-11-15","900.0","ug/l",,,,"onbeslist"
"kwik","1097","Hg","1988-11-15","0.05","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1988-11-15","48.0","mg/l",,,,"onbeslist"
"kalium","920","K","1988-11-15","20.0","mg/l",,,,"onbeslist"
"natrium","1262","Na","1988-11-15","98.0","mg/l",,,,"onbeslist"
"Zuurgraad","1398","pH","1988-11-15","7.75","1",,,,"goedgekeurd"
"mangaan","1128","Mn","1988-11-15","50.0","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","1988-11-15","0.5","ug/l",,,,"goedgekeurd"
"koper","971","Cu","1988-11-15","0.5","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1988-11-15","10.0","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1988-11-15","0.1","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1988-11-15","1.0","ug/l",,,,"goedgekeurd"
,,,,,,,,,
