"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000026881","IMBRO/A","2023-01-13T09:26:13+01:00","1992-09-28T12:00:00+01:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1992-09-28","20.16","ug/l",,,,"goedgekeurd"
"arseen","310","As","1992-09-28","0.79","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1992-09-28","165.72","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1992-09-28","171.31","mg/l",,,,"goedgekeurd"
"koper","971","Cu","1992-09-28","0.64","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","1992-09-28","116.38","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1992-09-28","7.03","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1992-09-28","391.75","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1992-09-28","0.05","mg/l",,,"<","goedgekeurd"
"strontium","1501","Sr","1992-09-28","474.8","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1992-09-28","14080.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1992-09-28","2.39","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1992-09-28","10.06","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1992-09-28","550.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1992-09-28","3.38","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1992-09-28","66.24","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1992-09-28","0.88","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","1992-09-28","0.21","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1992-09-28","6.54","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","1992-09-28","149.15","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1992-09-28","5.99","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1992-09-28","0.01","mg/l",,,"<","goedgekeurd"
"cadmium","441","Cd","1992-09-28","0.04","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
