"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000054116","IMBRO/A","2025-04-10T16:13:28+02:00","1940-10-11T12:00:00+02:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"sulfaat","1508","SO4","1940-10-11","489.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1940-10-11","6347.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1940-10-11","2300.0","ug/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1940-10-11","7.41","1",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1940-10-11","159.55","mS/m",,,,"goedgekeurd"
"kooldioxide","1803","CO2","1940-10-11","44.5","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1940-10-11","484.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
