"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000038107","IMBRO/A","2023-01-16T15:00:25+01:00","1990-05-16T13:00:00+02:00","onderwaterpomp","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1990-05-16","18.83","ug/l",,,"<","goedgekeurd"
"arseen","310","As","1990-05-16","0.91","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1990-05-16","26.53","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1990-05-16","6.14","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1990-05-16","0.52","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","1990-05-16","0.63","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","1990-05-16","59.55","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1990-05-16","7.09","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1990-05-16","328.79","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1990-05-16","0.06","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1990-05-16","35.76","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1990-05-16","199.81","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1990-05-16","240.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1990-05-16","1.01","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1990-05-16","13.47","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1990-05-16","50.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1990-05-16","0.01","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1990-05-16","6.01","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1990-05-16","1.76","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1990-05-16","2.07","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1990-05-16","21.14","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1990-05-16","102.64","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1990-05-16","0.64","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1990-05-16","0.28","mg/l",,,"<","goedgekeurd"
"cadmium","441","Cd","1990-05-16","0.11","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
