"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000000630","IMBRO/A","2022-11-25T11:05:59+01:00","1998-11-06T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"nitraat","1270","NO3","1998-11-06","0.66","mg/l",,,,"onbeslist"
"barium","333","Ba","1998-11-06","10.0","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","1998-11-06","12.8","mg/l",,,,"goedgekeurd"
"arseen","310","As","1998-11-06","0.18","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1998-11-06","15.5","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1998-11-06","0.1","ug/l",,,"<","goedgekeurd"
"chloride","508","Cl","1998-11-06","17.0","mg/l",,,,"goedgekeurd"
"koper","971","Cu","1998-11-06","5.0","ug/l",,,"<","goedgekeurd"
"magnesium","1125","Mg","1998-11-06","3.79","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1998-11-06","1.0","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1998-11-06","1.0","ug/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","1998-11-06","0.01","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1998-11-06","28.6","mg/l",,,,"onbeslist"
"zink","1693","Zn","1998-11-06","10.0","ug/l",,,"<","goedgekeurd"
"Zuurgraad","1398","pH","1998-11-06","6.75","1",,,,"goedgekeurd"
,,,,,,,,,
