"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000056342","IMBRO/A","2025-04-10T19:32:50+02:00","1994-10-26T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"mangaan","1128","Mn","1994-10-26","400.0","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1994-10-26","98.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1994-10-26","7.3","1",,,,"goedgekeurd"
"natrium","1262","Na","1994-10-26","100.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1994-10-26","21.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1994-10-26","160.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1994-10-26","8800.0","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1994-10-26","180.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1994-10-26","140.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1994-10-26","490.0","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1994-10-26","0.12","mg/l",,,,"goedgekeurd"
"arseen","310","As","1994-10-26","10.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1994-10-26","19.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
