"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000013773","IMBRO/A","2023-01-09T12:08:55+01:00","1992-04-01T12:00:00+02:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Geleidendheid","3548","GELDHD","71.0","mS/m","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.9","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"koper","971","Cu","1992-04-01","10.0","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","1992-04-01","10.0","ug/l",,,"<","goedgekeurd"
"chloride","508","Cl","1992-04-01","37.0","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1992-04-01","0.43","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1992-04-01","0.03","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1992-04-01","10.0","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1992-04-01","20.0","ug/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1992-04-01","12.3","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1992-04-01","10.0","ug/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1992-04-01","98.0","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1992-04-01","2.0","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","1992-04-01","44.0","ug/l",,,,"goedgekeurd"
"arseen","310","As","1992-04-01","0.3","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1992-04-01","10.0","ug/l",,,"<","goedgekeurd"
"ijzer","879","Fe","1992-04-01","30.0","ug/l",,,,"goedgekeurd"
"aluminium","284","Al","1992-04-01","31.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1992-04-01","0.16","mg/l",,,"<","goedgekeurd"
"magnesium","1125","Mg","1992-04-01","18.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1992-04-01","112.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1992-04-01","1.83","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1992-04-01","23.0","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1992-04-01","250.0","ug/l",,,,"goedgekeurd"
,,,,,,,,,
