"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000000922","IMBRO/A","2022-11-25T12:18:51+01:00","2008-09-16T12:00:00+02:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","10.7","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","5.7","1","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","13.6","mS/m","goedgekeurd",,,,
"zuurstof","1701","O2","0.02","mg/l","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","56.08","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"zink","1693","Zn","2008-09-16","60.0","ug/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","2008-09-16","0.12","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2008-09-16","0.08","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2008-09-16","4.2","mg/l",,,,"goedgekeurd"
"lood","1116","Pb","2008-09-16","0.66","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2008-09-16","0.2","ug/l",,,"<","goedgekeurd"
"Temperatuur","1522","T","2008-09-16","20.0","Cel",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2008-09-16","14.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2008-09-16","6.2","1",,,,"goedgekeurd"
"aluminium","284","Al","2008-09-16","250.0","ug/l",,,,"goedgekeurd"
"arseen","310","As","2008-09-16","5.1","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","2008-09-16","8.8","mg/l",,,,"onbeslist"
"cadmium","441","Cd","2008-09-16","0.23","ug/l",,,,"onbeslist"
"chroom","517","Cr","2008-09-16","5.1","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2008-09-16","1600.0","ug/l",,,,"goedgekeurd"
"kwik","1097","Hg","2008-09-16","0.04","ug/l",,,,"goedgekeurd"
"kalium","920","K","2008-09-16","4.5","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2008-09-16","2.2","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2008-09-16","410.0","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","2008-09-16","6.8","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","2008-09-16","2.1","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2008-09-16","6.8","ug/l",,,,"goedgekeurd"
"nitriet","1273","NO2","2008-09-16","0.01","mg/l",,,"<","goedgekeurd"
"nitraat","1270","NO3","2008-09-16","0.1","mg/l",,,"<","goedgekeurd"
"chloride","508","Cl","2008-09-16","11.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
