"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000063366","IMBRO/A","2025-04-11T10:55:09+02:00","1990-04-23T12:00:00+02:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","7.94","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"Geleidendheid","3548","GELDHD","1990-04-23","480.0","mS/m",,,,"goedgekeurd"
"calcium","447","Ca","1990-04-23","11.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1990-04-23","7.25","1",,,,"goedgekeurd"
"kalium","920","K","1990-04-23","39.0","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1990-04-23","29.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1990-04-23","2720.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1990-04-23","730.0","ug/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1990-04-23","1225.0","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1990-04-23","13.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1990-04-23","1265.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1990-04-23","790.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
