"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000028008","IMBRO/A","2023-01-13T10:19:27+01:00","2015-08-06T13:00:00+02:00","onderwaterpomp","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"arseen","310","As","2015-08-06","6.9","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2015-08-06","240.0","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2015-08-06","53.0","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2015-08-06","0.74","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2015-08-06","108.1","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2015-08-06","6.5","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2015-08-06","540.0","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","2015-08-06","0.01","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2015-08-06","0.13","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2015-08-06","68.0","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2015-08-06","450.0","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2015-08-06","12000.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2015-08-06","3.9","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2015-08-06","16.0","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2015-08-06","570.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2015-08-06","5.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2015-08-06","110.0","mg/l",,,,"goedgekeurd"
"boor","386","B","2015-08-06","160.0","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","2015-08-06","110.0","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2015-08-06","19.0","mg/l",,,,"goedgekeurd"
"fluoride","1853","F","2015-08-06","0.036","mg/l",,,,"goedgekeurd"
"bromide","391","Br","2015-08-06","0.34","mg/l",,,,"goedgekeurd"
,,,,,,,,,
