"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000012551","IMBRO/A","2023-01-09T10:17:50+01:00","1992-08-27T12:00:00+02:00","onbekend","4",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","6.94","1","onbeslist",,,,
"Temperatuur","1522","T","11.0","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","15.83","mS/m","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"calcium","447","Ca","1992-08-27","7.8","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1992-08-27","7.0","1",,,,"goedgekeurd"
"natrium","1262","Na","1992-08-27","15.0","mg/l",,,,"onbeslist"
"sulfaat","1508","SO4","1992-08-27","16.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1992-08-27","16.0","mg/l",,,,"goedgekeurd"
"silicium","1479","Si","1992-08-27","6.27","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1992-08-27","12000.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1992-08-27","0.9","mg/l",,,,"goedgekeurd"
"kalium","920","K","1992-08-27","1.0","mg/l",,,,"goedgekeurd"
"arseen","310","As","1992-08-27","3.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1992-08-27","195.0","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1992-08-27","160.0","mS/m",,,,"onbeslist"
"fosfor totaal","4188","Ptot","1992-08-27","0.05","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1992-08-27","0.05","mg/l",,,"<","goedgekeurd"
"ammonium","289","NH4","1992-08-27","0.01","mg/l",,,"<","goedgekeurd"
"waterstofcarbonaat","374","HCO3","1992-08-27","24.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
