"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000012543","IMBRO/A","2023-01-09T10:17:31+01:00","1993-04-29T12:00:00+02:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","11.0","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","12.76","mS/m","goedgekeurd",,,,
"Zuurgraad","1398","pH","5.71","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"zuurstof","1701","O2","1993-04-29","4.8","mg/l",,,,"goedgekeurd"
,,,,,,,,,
