"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000035804","IMBRO/A","2023-01-13T22:11:19+01:00","1991-04-15T13:00:00+02:00","onderwaterpomp","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1991-04-15","122.24","ug/l",,,,"goedgekeurd"
"arseen","310","As","1991-04-15","0.81","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1991-04-15","11.87","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1991-04-15","2583.85","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1991-04-15","5.93","ug/l",,,,"goedgekeurd"
"koper","971","Cu","1991-04-15","0.63","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","1991-04-15","1011.3","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1991-04-15","7.93","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1991-04-15","1403.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1991-04-15","14.54","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1991-04-15","13.15","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1991-04-15","495.47","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1991-04-15","1290.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1991-04-15","76.87","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1991-04-15","95.09","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1991-04-15","10.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1991-04-15","2.63","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1991-04-15","2034.32","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1991-04-15","1.17","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1991-04-15","2.07","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1991-04-15","6.54","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","1991-04-15","36.26","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1991-04-15","72.79","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1991-04-15","0.03","mg/l",,,"<","goedgekeurd"
"cadmium","441","Cd","1991-04-15","0.55","ug/l",,,,"goedgekeurd"
,,,,,,,,,
