Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000038677,GAR000000035912,2,1997-05-13T13:00:00+02:00,,,,,,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035914,2,2001-05-03T13:00:00+02:00,,,,,,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035916,2,2003-03-18T12:00:00+01:00,,,,,,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035919,3,2011-01-14T12:00:00+01:00,0.014,14369.24,0.18,11.1,6.72,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035920,3,1982-11-09T12:00:00+01:00,0.1,14200.0,,,6.8,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035923,3,1991-04-23T13:00:00+02:00,0.03,14143.17,,,6.74,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035925,3,1984-03-27T13:00:00+02:00,0.1,14300.0,,,6.96,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035938,3,1988-04-15T13:00:00+02:00,0.28,14602.0,,,6.92,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035941,3,2019-03-06T12:00:00+01:00,0.07,13432.432,0.8,11.2,6.98,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035947,3,1989-05-08T13:00:00+02:00,0.28,14233.0,,,6.94,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035988,3,1992-04-28T13:00:00+02:00,0.07,13856.34,,,6.86,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000035998,3,1997-05-13T13:00:00+02:00,,,,,,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000036003,3,1994-02-02T12:00:00+01:00,0.07,13572.206,,10.8,6.84,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000036007,3,1993-03-25T12:00:00+01:00,0.031,15377.856,,10.5,6.67,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000036012,3,1996-02-28T12:00:00+01:00,0.028,13863.751,,10.8,6.76,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000036019,3,1995-01-25T12:00:00+01:00,0.164,13780.939,,10.1,6.78,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000036244,3,2007-10-03T13:00:00+02:00,0.01,13338.25,0.0,11.6,6.88,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000036245,2,1992-04-28T13:00:00+02:00,,,,,,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000036247,1,2005-05-10T13:00:00+02:00,0.01,45.1,0.1,11.0,7.1,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000036248,1,1991-04-23T13:00:00+02:00,0.03,34.92,,,7.27,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000043421,1,2021-03-23T12:00:00+01:00,0.029,16.494,0.3,11.7,7.16,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000043834,1,2023-03-23T12:00:00+01:00,0.029,13.742,0.5,12.0,7.21,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000044153,3,2023-03-23T12:00:00+01:00,0.029,13390.563,0.9,11.3,6.73,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000051772,1,2007-12-20T11:00:00+01:00,0.22,46.0,,7.5,7.24,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000051933,1,2017-11-08T11:00:00+01:00,0.05,38.0,0.01,10.9,7.1,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000052298,1,2015-12-18T11:00:00+01:00,0.22,29.0,0.01,15.9,7.2,POINT (3.456846607 51.305272265)
GMW000000038677,GAR000000052447,1,2006-01-01T11:00:00+01:00,0.22,45.0,,,,POINT (3.456846607 51.305272265)
GMW000000050648,GAR000000051892,1,1987-05-12T12:00:00+02:00,,13595.0,,,,POINT (3.530371759 51.320808653)
GMW000000050648,GAR000000051930,1,1989-05-03T12:00:00+02:00,,13705.0,,,,POINT (3.530371759 51.320808653)
GMW000000050648,GAR000000051955,1,1986-10-08T11:00:00+01:00,,13746.0,,,,POINT (3.530371759 51.320808653)
GMW000000050648,GAR000000052013,1,1990-08-27T12:00:00+02:00,,14565.0,,,,POINT (3.530371759 51.320808653)
GMW000000050648,GAR000000052087,1,1990-03-26T12:00:00+02:00,,14365.0,,,,POINT (3.530371759 51.320808653)
GMW000000050648,GAR000000052311,1,1988-10-21T11:00:00+01:00,,13225.0,,,,POINT (3.530371759 51.320808653)
GMW000000050648,GAR000000052389,1,1996-07-02T12:00:00+02:00,,14403.0,,,,POINT (3.530371759 51.320808653)
GMW000000050648,GAR000000052413,1,1988-05-02T12:00:00+02:00,,13470.0,,,,POINT (3.530371759 51.320808653)
GMW000000050648,GAR000000052470,1,1994-06-07T12:00:00+02:00,,14104.0,,,,POINT (3.530371759 51.320808653)
GMW000000050648,GAR000000052525,1,1987-10-21T11:00:00+01:00,,13976.0,,,,POINT (3.530371759 51.320808653)
GMW000000050648,GAR000000052532,1,1985-12-12T11:00:00+01:00,,13059.0,,,,POINT (3.530371759 51.320808653)
GMW000000050648,GAR000000052619,1,1991-11-28T11:00:00+01:00,,14672.0,,,,POINT (3.530371759 51.320808653)
GMW000000050652,GAR000000055659,2,1990-03-27T12:00:00+02:00,,3395.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000055677,1,1990-03-27T12:00:00+02:00,,45.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000055711,2,1986-09-24T12:00:00+02:00,,3439.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000055759,2,1996-07-17T12:00:00+02:00,,3160.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000055796,1,1989-05-03T12:00:00+02:00,,35.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000055992,2,1988-10-21T11:00:00+01:00,,3450.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056015,1,1991-11-28T11:00:00+01:00,,53.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056046,2,1985-12-20T11:00:00+01:00,,3321.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056047,1,1996-07-17T12:00:00+02:00,,42.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056073,1,1987-10-20T11:00:00+01:00,,35.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056105,2,1991-11-28T11:00:00+01:00,,3703.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056173,1,1988-05-02T12:00:00+02:00,,65.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056211,2,1987-05-11T12:00:00+02:00,,3265.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056213,1,1994-06-01T12:00:00+02:00,,45.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056283,1,1985-12-20T11:00:00+01:00,,84.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056305,1,1988-10-21T11:00:00+01:00,,45.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056353,2,1989-05-03T12:00:00+02:00,,3485.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056356,1,1987-05-11T12:00:00+02:00,,330.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056387,1,1986-09-24T12:00:00+02:00,,32.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056427,1,1990-08-27T12:00:00+02:00,,35.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056535,2,1987-10-20T11:00:00+01:00,,3436.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056589,2,1990-08-27T12:00:00+02:00,,3360.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056632,2,1994-06-01T12:00:00+02:00,,3541.0,,,,POINT (3.510315563 51.372453463)
GMW000000050652,GAR000000056636,2,1988-05-02T12:00:00+02:00,,3535.0,,,,POINT (3.510315563 51.372453463)
GMW000000050658,GAR000000055668,3,1988-05-03T12:00:00+02:00,,15900.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055696,2,1994-06-02T12:00:00+02:00,,14104.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055699,1,1987-08-07T12:00:00+02:00,,13575.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055722,2,1989-05-03T12:00:00+02:00,,13700.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055803,2,1987-05-11T12:00:00+02:00,,12930.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055809,3,1989-05-03T12:00:00+02:00,,15075.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055817,1,1989-11-28T11:00:00+01:00,,13295.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055818,2,1988-10-21T11:00:00+01:00,,13315.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055834,3,1987-05-11T12:00:00+02:00,,14940.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055883,2,1997-06-09T12:00:00+02:00,,14275.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055905,3,1990-06-26T12:00:00+02:00,0.88,15330.0,,,6.85,POINT (3.50827296 51.352281288)
