Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000011592,GAR000000004802,2,2012-07-26T12:00:00+02:00,0.01,232.72,0.24,22.1,6.85,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000004803,2,2015-10-28T11:00:00+01:00,0.05,560.0,,15.4,6.2,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000004804,2,2018-11-05T11:00:00+01:00,0.05,320.0,0.09,18.4,6.6,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000004805,3,1994-11-14T11:00:00+01:00,0.01,48.0,,,,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000004806,3,1996-10-28T11:00:00+01:00,0.11,61.0,,11.5,6.9,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000004807,3,2003-01-22T11:00:00+01:00,0.11,115.0,,,,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000004808,4,1994-11-14T11:00:00+01:00,0.01,350.0,,,,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000004809,4,1996-10-30T11:00:00+01:00,0.11,590.0,,11.0,6.85,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000004810,4,2003-01-22T11:00:00+01:00,0.11,750.0,,,,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000004811,4,2006-06-07T12:00:00+02:00,0.01,770.0,,14.2,7.18,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000004812,4,2015-10-28T11:00:00+01:00,0.05,900.0,,14.6,6.6,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000004813,4,2018-11-05T11:00:00+01:00,0.05,790.0,0.09,18.9,6.6,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000051422,1,2021-12-14T11:00:00+01:00,0.17,268.27,,19.6,7.51,POINT (5.666687286 52.797709215)
GMW000000011592,GAR000000051427,2,2021-12-10T11:00:00+01:00,0.11,352.16,,19.8,6.89,POINT (5.666687286 52.797709215)
GMW000000011594,GAR000000004685,1,2003-01-27T11:00:00+01:00,0.11,600.0,,,,POINT (5.833269257 52.6306728)
GMW000000011594,GAR000000005204,1,1991-08-14T12:00:00+02:00,0.0045,225.0,,,,POINT (5.833269257 52.6306728)
GMW000000011594,GAR000000005205,1,1996-11-27T11:00:00+01:00,0.11,110.0,,11.0,7.0,POINT (5.833269257 52.6306728)
GMW000000011594,GAR000000005206,1,1998-09-02T12:00:00+02:00,,,0.3,13.7,7.0,POINT (5.833269257 52.6306728)
GMW000000011594,GAR000000005207,2,1991-08-14T12:00:00+02:00,0.0045,776.0,,,,POINT (5.833269257 52.6306728)
GMW000000011594,GAR000000005208,2,1996-11-27T11:00:00+01:00,0.11,670.0,,10.5,6.8,POINT (5.833269257 52.6306728)
GMW000000011594,GAR000000005209,2,2000-01-01T11:00:00+01:00,,,,,,POINT (5.833269257 52.6306728)
GMW000000011594,GAR000000005210,2,2003-01-27T11:00:00+01:00,0.11,280.0,,,,POINT (5.833269257 52.6306728)
GMW000000011599,GAR000000004692,1,1996-11-26T11:00:00+01:00,0.11,290.0,,10.5,6.8,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004971,1,1994-11-15T11:00:00+01:00,0.01,215.0,,,,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004972,1,1998-09-01T12:00:00+02:00,,,0.2,13.0,6.89,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004973,1,2000-01-01T11:00:00+01:00,,,,,,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004974,1,2003-01-24T11:00:00+01:00,0.11,280.0,,,,POINT (5.69379459 52.666972922)
