"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000057767","IMBRO/A","2025-04-10T21:42:36+02:00","1996-11-19T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","10.4","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"ijzer","879","Fe","1996-11-19","1300.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1996-11-19","81.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1996-11-19","148.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1996-11-19","45.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1996-11-19","60.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1996-11-19","7.4","1",,,,"goedgekeurd"
"ammonium","289","NH4","1996-11-19","4.83","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1996-11-19","130.0","mg/l",,,,"goedgekeurd"
"koper","971","Cu","1996-11-19","5.0","ug/l",,,"<","goedgekeurd"
"stikstof Kjeldahl","4064","NKj","1996-11-19","5.2","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","1996-11-19","10.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1996-11-19","330.0","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1996-11-19","5.0","ug/l",,,"<","goedgekeurd"
"chloride","508","Cl","1996-11-19","60.0","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1996-11-19","5.0","ug/l",,,"<","goedgekeurd"
"cadmium","441","Cd","1996-11-19","0.5","ug/l",,,"<","goedgekeurd"
"arseen","310","As","1996-11-19","5.0","ug/l",,,"<","goedgekeurd"
"aluminium","284","Al","1996-11-19","5.0","ug/l",,,"<","goedgekeurd"
"nitraat","1270","NO3","1996-11-19","2.0","mg/l",,,"<","goedgekeurd"
"waterstofcarbonaat","374","HCO3","1996-11-19","740.0","mg/l",,,,"goedgekeurd"
"lood","1116","Pb","1996-11-19","5.0","ug/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","1996-11-19","1.2","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1996-11-19","149.0","mS/m",,,,"goedgekeurd"
"fosfaat","1334","PO4","1996-11-19","0.91","mg/l",,,,"goedgekeurd"
,,,,,,,,,
