"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000058748","IMBRO/A","2025-04-10T23:11:47+02:00","1990-04-24T12:00:00+02:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","6.96","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"sulfaat","1508","SO4","1990-04-24","475.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1990-04-24","729.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1990-04-24","145.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1990-04-24","6.94","1",,,,"goedgekeurd"
"natrium","1262","Na","1990-04-24","170.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1990-04-24","7.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1990-04-24","338.0","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1990-04-24","46.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1990-04-24","130.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1990-04-24","1810.0","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1990-04-24","132.0","mS/m",,,,"goedgekeurd"
,,,,,,,,,
