"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000061637","IMBRO/A","2025-04-11T03:42:38+02:00","1993-09-07T12:00:00+02:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","7.51","1","goedgekeurd",,,,
"zuurstof","1701","O2","2.2","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","208.0","mS/m","goedgekeurd",,,,
"Temperatuur","1522","T","10.9","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"nitriet","1273","NO2","1993-09-07","0.01","mg/l","0.01","mg/l","<","goedgekeurd"
"nitraat","1270","NO3","1993-09-07","0.96","mg/l","0.96","mg/l",,"goedgekeurd"
"ammonium","289","NH4","1993-09-07","0.9","mg/l","0.9","mg/l",,"goedgekeurd"
"fosfor totaal","4188","Ptot","1993-09-07","0.02","mg/l","0.02","mg/l",,"goedgekeurd"
"Kleur","3886","KLEUR","1993-09-07","5.0","1","5.0","1",,"goedgekeurd"
"sulfaat","1508","SO4","1993-09-07","230.08","mg/l","230.08","mg/l",,"goedgekeurd"
"chloride","508","Cl","1993-09-07","377.42","mg/l","377.42","mg/l",,"goedgekeurd"
"natrium","1262","Na","1993-09-07","315.0","mg/l","315.0","mg/l",,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1993-09-07","516.06","mg/l","516.06","mg/l",,"goedgekeurd"
"ijzer","879","Fe","1993-09-07","3110.0","ug/l","3110.0","ug/l",,"goedgekeurd"
"mangaan","1128","Mn","1993-09-07","290.0","ug/l","290.0","ug/l",,"goedgekeurd"
"magnesium","1125","Mg","1993-09-07","64.6","mg/l","64.6","mg/l",,"goedgekeurd"
"calcium","447","Ca","1993-09-07","74.8","mg/l","74.8","mg/l",,"goedgekeurd"
"kalium","920","K","1993-09-07","42.7","mg/l","42.7","mg/l",,"goedgekeurd"
,,,,,,,,,
