"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000034502","IMBRO/A","2023-01-13T20:48:48+01:00","2011-01-28T12:00:00+01:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","11.2","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","5.0","1","goedgekeurd",,,,
"zuurstof","1701","O2","0.07","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","45.0","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","22.68","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2011-01-28","14.3","ug/l",,,,"goedgekeurd"
"arseen","310","As","2011-01-28","0.21","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2011-01-28","48.92","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2011-01-28","88.33","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2011-01-28","0.26","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2011-01-28","1.94","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2011-01-28","45.3","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2011-01-28","5.44","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2011-01-28","18.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2011-01-28","0.11","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","2011-01-28","46.24","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2011-01-28","86.95","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2011-01-28","520.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2011-01-28","14.7","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2011-01-28","4.55","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2011-01-28","460.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2011-01-28","0.918","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2011-01-28","49.34","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2011-01-28","38.62","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2011-01-28","0.14","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2011-01-28","14.78","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","2011-01-28","14.67","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2011-01-28","2.6","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2011-01-28","0.029","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","2011-01-28","0.59","ug/l",,,,"goedgekeurd"
,,,,,,,,,
