"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000013783","IMBRO/A","2023-01-09T12:09:20+01:00","2004-07-01T12:00:00+02:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","7.21","1","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","93.0","mS/m","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"nitraat","1270","NO3","2004-07-01","10.0","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","2004-07-01","0.01","mg/l",,,"<","goedgekeurd"
"chloride","508","Cl","2004-07-01","30.0","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2004-07-01","1.19","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2004-07-01","79.0","mg/l",,,,"goedgekeurd"
"lithium","1115","Li","2004-07-01","6.4","ug/l",,,,"goedgekeurd"
"bromide","391","Br","2004-07-01","0.1","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","2004-07-01","19.0","ug/l",,,,"goedgekeurd"
"vanadium","1642","V","2004-07-01","0.84","ug/l",,,,"goedgekeurd"
"strontium","1501","Sr","2004-07-01","327.0","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2004-07-01","5.0","ug/l",,,"<","goedgekeurd"
"nikkel","1267","Ni","2004-07-01","2.8","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2004-07-01","1.29","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","2004-07-01","2.88","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","2004-07-01","0.4","ug/l",,,"<","goedgekeurd"
"fluoride","1853","F","2004-07-01","0.17","mg/l",,,,"goedgekeurd"
"barium","333","Ba","2004-07-01","65.0","ug/l",,,,"goedgekeurd"
"arseen","310","As","2004-07-01","5.0","ug/l",,,"<","goedgekeurd"
"mangaan","1128","Mn","2004-07-01","0.1","ug/l",,,"<","goedgekeurd"
"ijzer","879","Fe","2004-07-01","5.0","ug/l",,,"<","goedgekeurd"
"aluminium","284","Al","2004-07-01","6.9","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2004-07-01","0.01","mg/l",,,"<","goedgekeurd"
"magnesium","1125","Mg","2004-07-01","24.4","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","2004-07-01","178.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","2004-07-01","1.3","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2004-07-01","18.3","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","2004-07-01","0.11","mg/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","2004-07-01","0.05","mg/l",,,,"goedgekeurd"
"kobalt","527","Co","2004-07-01","0.6","ug/l",,,,"goedgekeurd"
,,,,,,,,,
