"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000034111","IMBRO/A","2023-01-13T20:25:30+01:00","1997-12-02T12:00:00+01:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Geleidendheid","3548","GELDHD","41.2","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","0.03","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","10.1","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","4.34","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1997-12-02","8787.386","ug/l",,,,"goedgekeurd"
"arseen","310","As","1997-12-02","0.15","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","1997-12-02","60.563","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1997-12-02","29.211","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1997-12-02","0.728","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","1997-12-02","1.398","ug/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1997-12-02","0.062","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1997-12-02","64.36","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1997-12-02","147.202","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1997-12-02","22.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1997-12-02","5.396","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1997-12-02","5.956","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1997-12-02","127.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1997-12-02","0.014","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1997-12-02","13.449","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1997-12-02","2.876","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1997-12-02","6.539","ug/l",,,"<","goedgekeurd"
"boor","386","B","1997-12-02","30.268","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1997-12-02","20.593","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1997-12-02","13.492","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1997-12-02","0.427","ug/l",,,,"goedgekeurd"
,,,,,,,,,
