"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000034256","IMBRO/A","2023-01-13T20:33:08+01:00","2008-08-12T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"zuurstof","1701","O2","4.22","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","30.0","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","0.0","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","11.7","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","4.5","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2008-08-12","3623.29","ug/l",,,,"goedgekeurd"
"arseen","310","As","2008-08-12","1.5","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","2008-08-12","44.29","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2008-08-12","29.17","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2008-08-12","0.92","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2008-08-12","1.56","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","2008-08-12","31.8","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2008-08-12","4.47","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2008-08-12","2.0","mg/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","2008-08-12","0.19","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","2008-08-12","55.19","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2008-08-12","130.0","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2008-08-12","90.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","2008-08-12","5.58","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2008-08-12","4.98","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2008-08-12","65.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2008-08-12","0.241","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","2008-08-12","17.8","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2008-08-12","1.41","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2008-08-12","0.27","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","2008-08-12","2.14","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","2008-08-12","20.9","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2008-08-12","2.6","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2008-08-12","8.599","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","2008-08-12","0.315","ug/l",,,,"goedgekeurd"
,,,,,,,,,
