"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000005022","IMBRO/A","2022-12-02T21:02:55+01:00","1976-12-08T11:00:00+01:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"waterstofcarbonaat","374","HCO3","495.0","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1976-12-08","194.0","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","1976-12-08","0.01","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1976-12-08","0.04","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1976-12-08","52.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
