"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000063560","IMBRO/A","2025-04-11T11:13:15+02:00","1996-01-23T11:00:00+01:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","7.0","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"fosfor totaal","4188","Ptot","1996-01-23","4.9","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1996-01-23","4610.0","mS/m",,,,"goedgekeurd"
"fosfaat","1334","PO4","1996-01-23","1.23","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1996-01-23","383.0","mg/l",,,,"goedgekeurd"
"arseen","310","As","1996-01-23","23.0","ug/l",,,,"goedgekeurd"
"aluminium","284","Al","1996-01-23","5.0","ug/l",,,"<","goedgekeurd"
"nitraat","1270","NO3","1996-01-23","2.0","mg/l",,,"<","goedgekeurd"
"waterstofcarbonaat","374","HCO3","1996-01-23","740.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1996-01-23","2080.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1996-01-23","17700.0","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1996-01-23","1200.0","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","1996-01-23","5.0","ug/l",,,"<","goedgekeurd"
"magnesium","1125","Mg","1996-01-23","1098.0","mg/l",,,,"goedgekeurd"
"koper","971","Cu","1996-01-23","5.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1996-01-23","335.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1996-01-23","8981.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1996-01-23","5000.0","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","1996-01-23","0.5","ug/l",,,"<","goedgekeurd"
"Zuurgraad","1398","pH","1996-01-23","6.8","1",,,,"goedgekeurd"
"stikstof Kjeldahl","4064","NKj","1996-01-23","11.0","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","1996-01-23","23.0","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1996-01-23","5.0","ug/l",,,"<","goedgekeurd"
"nikkel","1267","Ni","1996-01-23","5.0","ug/l",,,"<","goedgekeurd"
"ammonium","289","NH4","1996-01-23","10.06","mg/l",,,,"goedgekeurd"
,,,,,,,,,
