"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000038169","IMBRO/A","2023-01-16T15:03:58+01:00","1996-04-12T13:00:00+02:00","onderwaterpomp","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","6.89","1","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","85.1","mS/m","goedgekeurd",,,,
"Temperatuur","1522","T","11.5","Cel","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","374.5","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1996-04-12","24.282","ug/l",,,,"goedgekeurd"
"arseen","310","As","1996-04-12","0.3","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1996-04-12","40.1","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1996-04-12","40.697","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1996-04-12","1.212","ug/l",,,,"goedgekeurd"
"koper","971","Cu","1996-04-12","0.699","ug/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","1996-04-12","0.105","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1996-04-12","45.34","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1996-04-12","425.833","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1996-04-12","11.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1996-04-12","4.575","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1996-04-12","7.755","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1996-04-12","5.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1996-04-12","0.014","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1996-04-12","19.702","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1996-04-12","6.996","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1996-04-12","6.539","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","1996-04-12","154.605","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1996-04-12","11.558","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1996-04-12","0.056","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
