"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000001077","IMBRO/A","2022-11-25T12:24:01+01:00","2008-09-16T12:00:00+02:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"waterstofcarbonaat","374","HCO3","461.1","mg/l","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.02","1","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","90.1","mS/m","goedgekeurd",,,,
"Temperatuur","1522","T","11.4","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"koper","971","Cu","2008-09-16","0.63","ug/l",,,,"goedgekeurd"
"arseen","310","As","2008-09-16","0.63","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2008-09-16","0.37","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2008-09-16","0.21","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2008-09-16","21.0","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2008-09-16","910.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2008-09-16","21.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","2008-09-16","1.1","mg/l",,,,"goedgekeurd"
"kwik","1097","Hg","2008-09-16","0.01","ug/l",,,"<","onbeslist"
"ijzer","879","Fe","2008-09-16","14000.0","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","2008-09-16","1.5","ug/l",,,,"goedgekeurd"
"nitriet","1273","NO2","2008-09-16","0.01","mg/l",,,"<","goedgekeurd"
"chloride","508","Cl","2008-09-16","34.0","mg/l",,,,"goedgekeurd"
"aluminium","284","Al","2008-09-16","20.0","ug/l",,,"<","goedgekeurd"
"Zuurgraad","1398","pH","2008-09-16","6.9","1",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2008-09-16","100.0","mS/m",,,,"goedgekeurd"
"Temperatuur","1522","T","2008-09-16","20.1","Cel",,,,"goedgekeurd"
"cadmium","441","Cd","2008-09-16","0.05","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","2008-09-16","180.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2008-09-16","0.1","mg/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","2008-09-16","0.81","mg/l",,,,"goedgekeurd"
"lood","1116","Pb","2008-09-16","0.1","ug/l",,,"<","goedgekeurd"
"fosfaat","1334","PO4","2008-09-16","0.6","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","2008-09-16","170.0","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","2008-09-16","5.5","ug/l",,,,"goedgekeurd"
,,,,,,,,,
