"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000035894","IMBRO/A","2023-01-13T22:16:29+01:00","2015-05-19T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"zuurstof","1701","O2","0.0","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","96.0","mS/m","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.97","1","goedgekeurd",,,,
"Temperatuur","1522","T","10.7","Cel","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","531.55","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2015-05-19","10.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2015-05-19","0.3","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2015-05-19","18.0","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2015-05-19","29.42","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2015-05-19","0.5","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","2015-05-19","0.5","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","2015-05-19","103.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2015-05-19","7.39","1",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2015-05-19","0.15","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2015-05-19","87.17","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2015-05-19","974.0","ug/l",,,,"goedgekeurd"
"antimoon","301","Sb","2015-05-19","0.1","ug/l",,,"<","goedgekeurd"
"kobalt","527","Co","2015-05-19","0.149","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2015-05-19","210.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2015-05-19","20.1","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2015-05-19","51.0","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2015-05-19","164.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2015-05-19","0.318","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2015-05-19","12.8","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2015-05-19","0.5","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2015-05-19","0.2","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2015-05-19","4.0","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","2015-05-19","124.5","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2015-05-19","4.2","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2015-05-19","0.079","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","2015-05-19","0.05","ug/l",,,"<","goedgekeurd"
"molybdeen","1243","Mo","2015-05-19","0.527","ug/l",,,,"goedgekeurd"
,,,,,,,,,
