"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000005524","IMBRO/A","2022-12-09T10:48:20+01:00","1992-03-18T11:00:00+01:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","8.11","1","goedgekeurd",,,,
"Temperatuur","1522","T","9.8","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","20.8","mS/m","goedgekeurd",,,,
,,,,,,,,,
