"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000012862","IMBRO/A","2023-01-09T10:33:35+01:00","1996-09-19T12:00:00+02:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","12.4","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","47.4","mS/m","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.27","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"ammonium","289","NH4","1996-09-19","0.95","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1996-09-19","93.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1996-09-19","84.0","mg/l",,,,"onbeslist"
"waterstofcarbonaat","374","HCO3","1996-09-19","99.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1996-09-19","0.22","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1996-09-19","0.09","mg/l",,,,"goedgekeurd"
"kalium","920","K","1996-09-19","29.0","mg/l",,,,"onbeslist"
,,,,,,,,,
