"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000011864","IMBRO/A","2022-12-23T12:54:40+01:00","2011-10-11T12:00:00+02:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","12.2","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","173.2","mS/m","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.03","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"mangaan","1128","Mn","2011-10-11","479.9","ug/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2011-10-11","1.0","mg/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","2011-10-11","0.49","mg/l",,,,"goedgekeurd"
"arseen","310","As","2011-10-11","1.5","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","2011-10-11","0.1","ug/l",,,"<","goedgekeurd"
"chroom","517","Cr","2011-10-11","1.5","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2011-10-11","10815.2","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2011-10-11","334.94","mg/l",,,,"goedgekeurd"
"kwik","1097","Hg","2011-10-11","0.03","ug/l",,,"<","goedgekeurd"
"waterstofcarbonaat","374","HCO3","2011-10-11","695.21","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","2011-10-11","6.18","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2011-10-11","0.24","ug/l",,,,"goedgekeurd"
"Temperatuur","1522","T","2011-10-11","20.8","Cel",,,,"goedgekeurd"
"lood","1116","Pb","2011-10-11","7.12","ug/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2011-10-11","0.01","mg/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","2011-10-11","177.43","mS/m",,,,"goedgekeurd"
"natrium","1262","Na","2011-10-11","377.68","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2011-10-11","8.13","mg/l",,,,"goedgekeurd"
"kalium","920","K","2011-10-11","1.91","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","2011-10-11","84.64","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","2011-10-11","3.28","mg/l",,,,"goedgekeurd"
"aluminium","284","Al","2011-10-11","30.6","ug/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2011-10-11","6.94","1",,,,"goedgekeurd"
"nikkel","1267","Ni","2011-10-11","0.27","ug/l",,,,"goedgekeurd"
,,,,,,,,,
