name,extrude,altitudeMode,WKT
"GAR000000013767.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013753.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013758.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013749.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013748.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013752.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013750.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013755.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000050902.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013787.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013782.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013791.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013796.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013773.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013778.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013764.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013769.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013772.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013777.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013768.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013759.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013763.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013754.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013770.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013789.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013775.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013784.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013761.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013766.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013757.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013793.csv","true","relativeToGround","POINT (5.849254731 51.007991062)"
"GAR000000013852.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000013857.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000050909.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000013861.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000013854.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000013859.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000013863.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
