"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000000458","IMBRO/A","2022-11-25T10:44:32+01:00","1995-04-20T12:00:00+02:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"magnesium","1125","Mg","1995-04-20","13.71","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1995-04-20","340.84","ug/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1995-04-20","81.36","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1995-04-20","0.12","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1995-04-20","0.02","mg/l",,,"<","goedgekeurd"
"nikkel","1267","Ni","1995-04-20","0.88","ug/l",,,"<","goedgekeurd"
"ammonium","289","NH4","1995-04-20","0.64","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1995-04-20","496.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1995-04-20","7.97","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1995-04-20","336.83","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1995-04-20","5088.0","ug/l",,,,"goedgekeurd"
"koper","971","Cu","1995-04-20","0.63","ug/l",,,"<","goedgekeurd"
"chroom","517","Cr","1995-04-20","0.93","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1995-04-20","41.97","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1995-04-20","0.04","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","1995-04-20","134.19","mg/l",,,,"goedgekeurd"
"barium","333","Ba","1995-04-20","179.21","ug/l",,,,"goedgekeurd"
"arseen","310","As","1995-04-20","0.22","ug/l",,,,"goedgekeurd"
"aluminium","284","Al","1995-04-20","21.58","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","1995-04-20","19.03","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","1995-04-20","6.53","ug/l",,,,"goedgekeurd"
,,,,,,,,,
