"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000012285","IMBRO/A","2023-01-09T10:07:25+01:00","2009-07-13T12:00:00+02:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","11.5","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","33.3","mS/m","goedgekeurd",,,,
"Zuurgraad","1398","pH","4.08","1","onbeslist",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"zuurstof","1701","O2","2009-07-13","9.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","2009-07-13","14.0","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2009-07-13","14.0","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","2009-07-13","15.0","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2009-07-13","900.0","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2009-07-13","33.1","mS/m",,,,"goedgekeurd"
"zink","1693","Zn","2009-07-13","230.0","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2009-07-13","88.0","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2009-07-13","3.0","ug/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2009-07-13","4.1","1",,,,"goedgekeurd"
"koper","971","Cu","2009-07-13","2.0","ug/l",,,,"goedgekeurd"
"arseen","310","As","2009-07-13","2.0","ug/l",,,"<","goedgekeurd"
"waterstofcarbonaat","374","HCO3","2009-07-13","6.0","mg/l",,,"<","goedgekeurd"
"calcium","447","Ca","2009-07-13","4.8","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2009-07-13","5.2","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","2009-07-13","0.06","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","2009-07-13","0.04","mg/l",,,"<","goedgekeurd"
"chroom","517","Cr","2009-07-13","0.8","ug/l",,,"<","onbeslist"
"cadmium","441","Cd","2009-07-13","0.8","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2009-07-13","21.0","ug/l",,,,"goedgekeurd"
"silicium","1479","Si","2009-07-13","0.16","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2009-07-13","40.0","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2009-07-13","28.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2009-07-13","42.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2009-07-13","14.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
