"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000038023","IMBRO/A","2023-01-16T14:55:53+01:00","2002-08-07T13:00:00+02:00","onderwaterpomp","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","6.79","1","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","98.7","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","329.455","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","10.5","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2002-08-07","53.96","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2002-08-07","2.023","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2002-08-07","50.812","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2002-08-07","45.837","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2002-08-07","3.786","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2002-08-07","1.271","ug/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","2002-08-07","0.13","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2002-08-07","206.337","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2002-08-07","399.547","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2002-08-07","34.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","2002-08-07","1.72","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2002-08-07","25.939","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2002-08-07","4.0","ug/l",,,"<","goedgekeurd"
"ammonium","289","NH4","2002-08-07","0.014","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","2002-08-07","23.703","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2002-08-07","2.348","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","2002-08-07","85.007","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","2002-08-07","187.334","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2002-08-07","22.724","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","2002-08-07","0.191","ug/l",,,,"goedgekeurd"
,,,,,,,,,
