"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000038017","IMBRO/A","2023-01-16T14:55:20+01:00","1992-04-09T13:00:00+02:00","onderwaterpomp","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1992-04-09","16.6","ug/l",,,,"goedgekeurd"
"arseen","310","As","1992-04-09","2.92","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1992-04-09","88.08","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1992-04-09","44.03","mg/l",,,,"goedgekeurd"
"koper","971","Cu","1992-04-09","0.64","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","1992-04-09","132.32","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1992-04-09","6.92","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1992-04-09","305.71","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1992-04-09","288.28","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1992-04-09","465.99","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1992-04-09","10.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1992-04-09","1.82","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1992-04-09","30.59","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1992-04-09","0.0","ug/l",,,"<","goedgekeurd"
"ammonium","289","NH4","1992-04-09","0.01","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1992-04-09","26.49","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1992-04-09","4.23","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1992-04-09","0.12","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1992-04-09","156.57","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1992-04-09","225.36","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1992-04-09","1.53","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1992-04-09","27.52","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1992-04-09","0.34","ug/l",,,,"goedgekeurd"
,,,,,,,,,
