"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000052483","IMBRO/A","2025-04-10T13:39:48+02:00","2009-12-10T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","10.9","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.9","1","goedgekeurd",,,,
"Redoxpotentiaal","1456","REDPTTAL","161.5","mV","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"bentazon","340","bentzn","2009-12-10","0.01","ug/l",,,"<","goedgekeurd"
"chloride","508","Cl","2009-12-10","61.0","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","2009-12-10","5.0","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
