"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000012936","IMBRO/A","2023-01-09T10:37:25+01:00","2005-01-20T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","13.2","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","69.2","mS/m","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.26","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"magnesium","1125","Mg","2005-01-20","10.0","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2005-01-20","7.3","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2005-01-20","15.0","ug/l",,,,"goedgekeurd"
"silicium","1479","Si","2005-01-20","6.27","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2005-01-20","13.0","mg/l",,,,"goedgekeurd"
"lood","1116","Pb","2005-01-20","1.0","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2005-01-20","127.0","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2005-01-20","91.0","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2005-01-20","99.5","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2005-01-20","61.2","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2005-01-20","6.3","1",,,,"goedgekeurd"
"ijzer","879","Fe","2005-01-20","100.0","ug/l",,,,"onbeslist"
"fosfor totaal","4188","Ptot","2005-01-20","0.05","mg/l",,,"<","goedgekeurd"
"ammonium","289","NH4","2005-01-20","0.02","mg/l",,,"<","goedgekeurd"
"mangaan","1128","Mn","2005-01-20","230.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2005-01-20","18.9","mg/l",,,,"goedgekeurd"
"aluminium","284","Al","2005-01-20","29.0","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","2005-01-20","43.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2005-01-20","80.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2005-01-20","71.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","2005-01-20","58.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2005-01-20","12.2","mg/l",,,,"goedgekeurd"
"barium","333","Ba","2005-01-20","69.7","ug/l",,,,"goedgekeurd"
"kooldioxide","1803","CO2","2005-01-20","67.7","mg/l",,,,"goedgekeurd"
,,,,,,,,,
