nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
0.01,0.03,,6.93,GAR000000013829,2006-05-23 12:00:00+02:00
17.0,0.05,17.3,6.89,GAR000000013830,2013-07-31 12:00:00+02:00
17.0,0.04,16.0,6.98,GAR000000013831,2014-07-24 12:00:00+02:00
16.0,0.06,16.6,7.04,GAR000000013832,2015-07-16 12:00:00+02:00
0.13,0.05,16.3,7.6,GAR000000013833,2016-06-29 12:00:00+02:00
0.98,0.03,,7.01,GAR000000013845,2006-05-23 12:00:00+02:00
0.56,0.06,16.9,6.85,GAR000000013846,2013-07-31 12:00:00+02:00
0.43,0.04,16.5,6.89,GAR000000013847,2014-07-24 12:00:00+02:00
0.43,0.05,17.0,6.86,GAR000000013848,2015-07-16 12:00:00+02:00
0.23,0.05,16.5,7.5,GAR000000013849,2016-06-29 12:00:00+02:00
0.07,0.05,14.8,6.91,GAR000000050927,2019-11-07 12:00:00+02:00
17.0,0.05,16.3,6.97,GAR000000050938,2019-11-07 12:00:00+02:00
