nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
27.415,,12.9,,GAR000000033300,1994-04-28 13:00:00+02:00
34.477,,11.9,6.81,GAR000000033301,1995-10-17 12:00:00+01:00
23.6,,12.1,6.83,GAR000000033302,2003-10-25 13:00:00+02:00
18.383,,12.2,6.73,GAR000000033303,2017-03-07 13:00:00+02:00
16.395,,10.8,6.78,GAR000000033304,2019-04-30 13:00:00+02:00
35.039,,11.8,6.73,GAR000000033308,1996-11-04 13:00:00+02:00
30.079,,11.9,6.99,GAR000000033309,1999-09-28 13:00:00+02:00
22.56,,16.1,6.8,GAR000000033310,2005-02-08 13:00:00+02:00
18.602,,12.3,6.7,GAR000000033311,2015-07-24 13:00:00+02:00
26.395,,12.0,6.92,GAR000000033315,1997-08-07 13:00:00+02:00
19.787,,12.9,6.82,GAR000000033316,2009-04-06 13:00:00+02:00
18.54,,11.3,6.72,GAR000000033317,2011-04-01 12:00:00+01:00
19.53,,12.9,6.24,GAR000000033318,2013-12-08 13:00:00+02:00
20.66,,12.7,6.69,GAR000000036200,2007-10-30 12:00:00+01:00
16.141,,13.0,6.72,GAR000000043509,2022-10-05 13:00:00+02:00
15.823,,12.6,6.79,GAR000000044083,2023-09-08 13:00:00+02:00
