"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000061616","IMBRO/A","2025-04-11T03:41:58+02:00","1993-09-06T12:00:00+02:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","7.25","1","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","132.5","mS/m","goedgekeurd",,,,
"zuurstof","1701","O2","3.0","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","11.7","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"nitraat","1270","NO3","1993-09-06","1.27","mg/l","1.27","mg/l",,"goedgekeurd"
"nitriet","1273","NO2","1993-09-06","0.01","mg/l","0.01","mg/l",,"goedgekeurd"
"ammonium","289","NH4","1993-09-06","0.93","mg/l","0.93","mg/l",,"goedgekeurd"
"Kleur","3886","KLEUR","1993-09-06","5.0","1","5.0","1","<","goedgekeurd"
"fosfor totaal","4188","Ptot","1993-09-06","0.27","mg/l","0.27","mg/l",,"goedgekeurd"
"sulfaat","1508","SO4","1993-09-06","186.04","mg/l","186.04","mg/l",,"goedgekeurd"
"chloride","508","Cl","1993-09-06","109.85","mg/l","109.85","mg/l",,"goedgekeurd"
"natrium","1262","Na","1993-09-06","104.25","mg/l","104.25","mg/l",,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1993-09-06","570.96","mg/l","570.96","mg/l",,"goedgekeurd"
"ijzer","879","Fe","1993-09-06","1660.0","ug/l","1660.0","ug/l",,"goedgekeurd"
"mangaan","1128","Mn","1993-09-06","2200.0","ug/l","2200.0","ug/l",,"goedgekeurd"
"magnesium","1125","Mg","1993-09-06","31.1","mg/l","31.1","mg/l",,"goedgekeurd"
"calcium","447","Ca","1993-09-06","160.4","mg/l","160.4","mg/l",,"goedgekeurd"
"kalium","920","K","1993-09-06","21.18","mg/l","21.18","mg/l",,"goedgekeurd"
,,,,,,,,,
