"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000063376","IMBRO/A","2025-04-11T10:56:02+02:00","1991-04-16T12:00:00+02:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"sulfaat","1508","SO4","1991-04-16","45.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1991-04-16","1100.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1991-04-16","0.1","mg/l",,,"<","goedgekeurd"
"nitriet","1273","NO2","1991-04-16","0.02","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1991-04-16","9.6","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1991-04-16","208.0","mS/m",,,,"goedgekeurd"
"chloride","508","Cl","1991-04-16","160.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1991-04-16","0.98","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1991-04-16","8.4","1",,,,"goedgekeurd"
"natrium","1262","Na","1991-04-16","560.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1991-04-16","22.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1991-04-16","2.6","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1991-04-16","7.5","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1991-04-16","1000.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1991-04-16","100.0","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
