"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000012444","IMBRO/A","2023-01-09T10:13:31+01:00","1999-01-21T11:00:00+01:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","7.4","1","goedgekeurd",,,,
"Temperatuur","1522","T","11.8","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","53.9","mS/m","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"magnesium","1125","Mg","1999-01-21","9.4","mg/l",,,,"goedgekeurd"
"arseen","310","As","1999-01-21","11.0","ug/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1999-01-21","10.0","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1999-01-21","1.0","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","1999-01-21","87.0","ug/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1999-01-21","320.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1999-01-21","84.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1999-01-21","150.0","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1999-01-21","330.0","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1999-01-21","76.4","mS/m",,,,"goedgekeurd"
"koper","971","Cu","1999-01-21","2.0","ug/l",,,"<","goedgekeurd"
"ijzer","879","Fe","1999-01-21","3100.0","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1999-01-21","5.0","ug/l",,,"<","goedgekeurd"
"Zuurgraad","1398","pH","1999-01-21","6.8","1",,,,"goedgekeurd"
"kalium","920","K","1999-01-21","5.3","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","1999-01-21","5.0","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","1999-01-21","5.0","ug/l",,,"<","goedgekeurd"
"aluminium","284","Al","1999-01-21","5.0","ug/l",,,"<","goedgekeurd"
"nitraat","1270","NO3","1999-01-21","0.03","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1999-01-21","0.1","mg/l",,,"<","onbeslist"
"mangaan","1128","Mn","1999-01-21","140.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1999-01-21","0.79","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1999-01-21","0.26","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1999-01-21","0.4","ug/l",,,"<","goedgekeurd"
"natrium","1262","Na","1999-01-21","70.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
