"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000026826","IMBRO/A","2023-01-13T09:24:26+01:00","1997-08-21T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Geleidendheid","3548","GELDHD","515.0","mS/m","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.68","1","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","637.61","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","10.6","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1997-08-21","62.054","ug/l",,,,"goedgekeurd"
"arseen","310","As","1997-08-21","1.049","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1997-08-21","861.196","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1997-08-21","1339.585","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1997-08-21","0.702","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","1997-08-21","0.699","ug/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","1997-08-21","0.601","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1997-08-21","4.611","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1997-08-21","1070.716","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1997-08-21","34733.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1997-08-21","6.647","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1997-08-21","37.535","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1997-08-21","2114.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1997-08-21","12.427","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1997-08-21","678.205","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1997-08-21","1.156","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1997-08-21","6.539","ug/l",,,"<","goedgekeurd"
"boor","386","B","1997-08-21","89.723","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1997-08-21","284.388","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1997-08-21","0.07","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1997-08-21","0.045","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
