"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000000956","IMBRO/A","2022-11-25T12:19:53+01:00","1992-08-14T12:00:00+02:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"fosfor totaal","4188","Ptot","1992-08-14","0.09","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","1992-08-14","6.54","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1992-08-14","0.7","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1992-08-14","3.84","mg/l",,,,"goedgekeurd"
"lood","1116","Pb","1992-08-14","0.27","ug/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1992-08-14","0.01","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1992-08-14","0.88","ug/l",,,"<","goedgekeurd"
"ammonium","289","NH4","1992-08-14","0.1","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1992-08-14","8.54","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1992-08-14","120.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1992-08-14","2.81","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1992-08-14","120.92","ug/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1992-08-14","128.75","mg/l",,,,"goedgekeurd"
"barium","333","Ba","1992-08-14","15.82","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","1992-08-14","0.78","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","1992-08-14","0.64","ug/l",,,"<","goedgekeurd"
"koolstof organisch","1318","Corg","1992-08-14","0.56","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1992-08-14","9.47","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1992-08-14","0.04","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","1992-08-14","37.51","mg/l",,,,"goedgekeurd"
"arseen","310","As","1992-08-14","0.15","ug/l",,,"<","goedgekeurd"
"ijzer","879","Fe","1992-08-14","600.0","ug/l",,,,"goedgekeurd"
"aluminium","284","Al","1992-08-14","13.49","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","1992-08-14","21.7","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1992-08-14","7.75","1",,,,"goedgekeurd"
,,,,,,,,,
