nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
10.157,,11.2,6.91,GAR000000033305,1997-09-07 13:00:00+02:00
8.112,,11.0,7.03,GAR000000033306,1999-07-28 13:00:00+02:00
15.768,,11.3,6.9,GAR000000033330,2011-03-01 12:00:00+01:00
15.852,,10.9,6.93,GAR000000033331,2015-05-10 13:00:00+02:00
13.348,,12.1,6.98,GAR000000033332,2019-04-30 13:00:00+02:00
20.637,,11.0,6.95,GAR000000033342,2001-08-08 13:00:00+02:00
16.035,,12.7,6.77,GAR000000033343,2013-12-08 13:00:00+02:00
15.287,,11.7,6.97,GAR000000033344,2017-10-11 12:00:00+01:00
17.954,,10.7,6.92,GAR000000033369,1995-10-17 12:00:00+01:00
14.584,,13.5,6.89,GAR000000033370,1996-11-04 13:00:00+02:00
22.19,,10.6,6.66,GAR000000033374,2003-10-27 12:00:00+01:00
19.24,,11.4,6.98,GAR000000033378,2009-04-06 13:00:00+02:00
17.144,,10.8,6.92,GAR000000036198,1994-04-27 13:00:00+02:00
13.391,,11.2,7.14,GAR000000043278,2021-04-28 13:00:00+02:00
12.114,,11.3,7.0,GAR000000043942,2023-03-30 13:00:00+02:00
