nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
0.01,,11.5,6.96,GAR000000033260,2005-03-08 13:00:00+02:00
0.1,,11.7,7.16,GAR000000033261,2007-10-29 12:00:00+01:00
0.07,,11.4,7.15,GAR000000033266,2013-08-14 13:00:00+02:00
0.029,,11.3,7.06,GAR000000033272,2020-11-08 13:00:00+02:00
0.07,,10.7,7.08,GAR000000033409,2015-07-28 13:00:00+02:00
0.07,,11.9,7.1,GAR000000033410,2018-11-06 13:00:00+02:00
0.021,,10.0,7.11,GAR000000033412,1993-03-30 13:00:00+02:00
0.142,,10.8,7.26,GAR000000033413,1994-08-02 12:00:00+01:00
2.072,,10.4,7.13,GAR000000033414,1995-02-03 12:00:00+01:00
0.028,,10.9,7.08,GAR000000033415,1996-10-04 13:00:00+02:00
0.028,,10.3,7.07,GAR000000033416,1997-07-15 13:00:00+02:00
0.028,,11.0,7.09,GAR000000033417,1999-11-05 13:00:00+02:00
0.028,,11.0,7.14,GAR000000033418,2001-10-07 13:00:00+02:00
0.05,,10.8,7.36,GAR000000033420,2003-04-15 13:00:00+02:00
0.014,,10.3,7.21,GAR000000033421,2011-03-01 12:00:00+01:00
0.045,,10.5,7.07,GAR000000033438,1993-03-30 13:00:00+02:00
0.059,,10.9,7.23,GAR000000033439,1994-08-02 12:00:00+01:00
0.126,,10.0,7.11,GAR000000033440,1995-02-03 12:00:00+01:00
0.028,,10.8,7.09,GAR000000033441,1996-10-04 13:00:00+02:00
0.028,,11.2,6.95,GAR000000033443,1998-04-28 13:00:00+02:00
0.056,,11.1,7.1,GAR000000033444,2002-05-27 13:00:00+02:00
0.014,,11.1,7.1,GAR000000033445,2006-12-06 13:00:00+02:00
0.014,,11.9,6.61,GAR000000033446,2010-06-23 13:00:00+02:00
0.07,,10.6,7.29,GAR000000033447,2014-07-08 13:00:00+02:00
0.07,,11.3,7.0625,GAR000000036197,2018-11-06 13:00:00+02:00
0.027,,12.6,7.12,GAR000000036202,2009-04-06 13:00:00+02:00
0.029,,11.1,7.0,GAR000000043658,2022-03-28 13:00:00+02:00
0.049,,11.2,7.03,GAR000000043812,2022-03-28 13:00:00+02:00
