nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
15.4,,10.8,6.75,GAR000000037274,2007-10-29 12:00:00+01:00
11.715,,10.1,7.02,GAR000000037275,2011-03-01 12:00:00+01:00
1.19,,12.0,7.6,GAR000000037276,2005-03-08 13:00:00+02:00
18.071,,11.3,5.27333,GAR000000037277,2013-08-13 13:00:00+02:00
16.841,,,4.985,GAR000000037278,2015-07-28 13:00:00+02:00
17.083,,11.0,5.05,GAR000000037279,2017-08-14 13:00:00+02:00
18.199,,11.3,5.23,GAR000000037280,2018-12-06 13:00:00+02:00
11.167,,10.5,6.63,GAR000000037282,1994-02-06 13:00:00+02:00
11.125,,10.8,6.38,GAR000000037283,1995-06-28 13:00:00+02:00
12.189,,11.6,6.16,GAR000000037284,1997-09-07 13:00:00+02:00
14.61,,11.0,5.69,GAR000000037286,2003-10-26 12:00:00+01:00
16.838,,12.8,5.38,GAR000000037287,2009-04-06 13:00:00+02:00
16.476,,11.4,5.22,GAR000000037288,2019-06-05 13:00:00+02:00
12.007,,9.6,6.22,GAR000000037289,1996-04-12 12:00:00+01:00
0.067,,10.4,6.18,GAR000000037290,1994-02-06 13:00:00+02:00
0.028,,10.5,5.95,GAR000000037294,1995-06-28 13:00:00+02:00
0.028,,10.6,5.91,GAR000000037299,1996-04-12 12:00:00+01:00
0.028,,11.4,5.94,GAR000000037300,1998-08-20 13:00:00+02:00
12.217,,10.3,5.81,GAR000000037306,2002-07-08 13:00:00+02:00
0.014,,10.9,6.2,GAR000000037307,2006-12-06 13:00:00+02:00
0.352,,11.6,6.8,GAR000000037313,2010-06-23 13:00:00+02:00
0.07,,10.5,6.1,GAR000000037314,2014-08-28 13:00:00+02:00
0.07,,11.4,6.3925,GAR000000037321,2018-12-06 13:00:00+02:00
16.253,,11.0,5.61,GAR000000043143,2021-04-21 13:00:00+02:00
0.029,,11.7,6.15,GAR000000043826,2022-05-04 13:00:00+02:00
20.329,,11.1,5.21,GAR000000044094,2023-05-04 13:00:00+02:00
