nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
0.101,,9.5,7.2,GAR000000033072,1994-08-02 12:00:00+01:00
1.786,,9.2,7.17,GAR000000033073,1995-02-03 12:00:00+01:00
0.042,,10.6,7.13,GAR000000033078,1999-10-05 13:00:00+02:00
0.028,,11.7,7.14,GAR000000033084,2001-10-07 13:00:00+02:00
0.03,,9.8,7.35,GAR000000033085,2003-04-14 13:00:00+02:00
0.93,,14.7,7.4,GAR000000033094,2005-02-08 13:00:00+02:00
0.54,,12.9,6.97,GAR000000033095,2007-10-29 12:00:00+01:00
0.014,,10.5,6.99,GAR000000033098,2009-04-06 13:00:00+02:00
0.07,,11.5,6.92,GAR000000033099,2015-07-29 13:00:00+02:00
0.07,,11.2,7.09,GAR000000033100,2019-04-30 13:00:00+02:00
0.014,,9.6,6.99,GAR000000033104,2011-03-01 12:00:00+01:00
0.07,,12.7,7.16,GAR000000033105,2013-08-13 13:00:00+02:00
1.585,,9.3,7.38,GAR000000033180,1994-08-02 12:00:00+01:00
0.064,,10.7,7.19,GAR000000033181,1995-02-03 12:00:00+01:00
0.953,,9.6,7.02,GAR000000033199,1996-11-04 13:00:00+02:00
0.715,,11.2,6.98,GAR000000033223,1998-04-28 13:00:00+02:00
0.028,,11.2,7.0,GAR000000033224,2002-05-27 13:00:00+02:00
0.596,,11.1,7.0,GAR000000033242,2006-12-06 13:00:00+02:00
0.07,,10.8,7.04,GAR000000033243,2017-06-13 13:00:00+02:00
0.014,,11.5,6.86,GAR000000033248,2010-06-23 13:00:00+02:00
0.09,,10.8,7.1,GAR000000033251,2014-06-08 13:00:00+02:00
1.261,,9.3,6.91,GAR000000033319,1996-11-04 13:00:00+02:00
0.967,,11.5,6.9,GAR000000033320,1997-10-07 13:00:00+02:00
0.07,,10.9,7.22,GAR000000036204,2017-06-13 13:00:00+02:00
0.035,,9.5,7.1,GAR000000043270,2021-04-26 13:00:00+02:00
0.029,,11.3,7.18,GAR000000043285,2021-04-26 13:00:00+02:00
0.029,,10.2,6.87,GAR000000043923,2023-03-30 13:00:00+02:00
